year,month,brand,count
2019,1,VW,4384
2019,1,SKODA,2380
2019,1,SEAT,2303
2019,1,OPEL,1727
2019,1,FORD,1471
2019,1,BMW,1422
2019,1,RENAULT,1287
2019,1,HYUNDAI,1074
2019,1,MERCEDES,986
2019,1,AUDI,869
2019,1,FIAT,798
2019,1,PEUGEOT,790
2019,1,DACIA,783
2019,1,MAZDA,646
2019,1,CITROEN,629
2019,1,KIA,558
2019,1,SUZUKI,558
2019,1,VOLVO,362
2019,1,MITSUBISHI,348
2019,1,NISSAN,332
2019,1,TOYOTA,303
2019,1,JEEP,272
2019,1,MINI,194
2019,1,HONDA,155
2019,1,LAND ROVER,137
2019,1,ALFA ROMEO,106
2019,1,SMART,90
2019,1,JAGUAR,84
2019,1,PORSCHE,50
2019,1,SUBARU,40
2019,1,DS,23
2019,1,LEXUS,23
2019,1,TESLA,21
2019,1,SSANG-YONG,20
2019,1,LADA,10
2019,1,LAMBORGHINI,9
2019,1,MASERATI,5
2019,1,JAC,3
2019,1,BENTLEY,2
2019,1,DODGE,1
2019,1,FERRARI,1
2019,1,INFINITI,1
2019,2,VW,4435
2019,2,SKODA,2198
2019,2,SEAT,1634
2019,2,FORD,1488
2019,2,OPEL,1348
2019,2,RENAULT,1270
2019,2,BMW,1132
2019,2,HYUNDAI,892
2019,2,AUDI,883
2019,2,MERCEDES,864
2019,2,FIAT,859
2019,2,PEUGEOT,801
2019,2,DACIA,739
2019,2,SUZUKI,662
2019,2,KIA,620
2019,2,MAZDA,565
2019,2,CITROEN,529
2019,2,TOYOTA,413
2019,2,JEEP,339
2019,2,NISSAN,333
2019,2,VOLVO,321
2019,2,MITSUBISHI,287
2019,2,TESLA,166
2019,2,HONDA,161
2019,2,MINI,139
2019,2,ALFA ROMEO,121
2019,2,LAND ROVER,120
2019,2,SMART,106
2019,2,JAGUAR,78
2019,2,SUBARU,30
2019,2,SSANG-YONG,24
2019,2,PORSCHE,22
2019,2,LEXUS,21
2019,2,DS,16
2019,2,LADA,10
2019,2,LAMBORGHINI,6
2019,2,MASERATI,3
2019,2,BENTLEY,2
2019,2,FERRARI,2
2019,2,DODGE,1
2019,3,VW,5233
2019,3,SKODA,2490
2019,3,SEAT,1919
2019,3,FORD,1827
2019,3,RENAULT,1786
2019,3,BMW,1676
2019,3,OPEL,1627
2019,3,FIAT,1386
2019,3,HYUNDAI,1379
2019,3,MERCEDES,1241
2019,3,AUDI,1240
2019,3,MAZDA,1216
2019,3,PEUGEOT,1100
2019,3,KIA,890
2019,3,DACIA,871
2019,3,SUZUKI,860
2019,3,CITROEN,808
2019,3,TESLA,748
2019,3,TOYOTA,550
2019,3,NISSAN,533
2019,3,VOLVO,484
2019,3,MITSUBISHI,382
2019,3,JEEP,363
2019,3,HONDA,289
2019,3,MINI,245
2019,3,LAND ROVER,194
2019,3,ALFA ROMEO,154
2019,3,JAGUAR,132
2019,3,SMART,118
2019,3,PORSCHE,62
2019,3,SUBARU,40
2019,3,LEXUS,26
2019,3,SSANG-YONG,20
2019,3,LADA,16
2019,3,DS,12
2019,3,FERRARI,10
2019,3,MASERATI,10
2019,3,BENTLEY,7
2019,3,LAMBORGHINI,4
2019,3,ASTON MARTIN,3
2019,3,DODGE,2
2019,3,CHEVROLET,1
2019,3,CHRYSLER,1
2019,3,INFINITI,1
2019,3,MORGAN,1
2019,3,ROLLS ROYCE,1
2019,4,VW,4939
2019,4,SKODA,2655
2019,4,SEAT,2041
2019,4,BMW,2021
2019,4,FORD,1843
2019,4,OPEL,1724
2019,4,HYUNDAI,1664
2019,4,RENAULT,1532
2019,4,MERCEDES,1376
2019,4,PEUGEOT,1293
2019,4,FIAT,1184
2019,4,KIA,1145
2019,4,AUDI,1122
2019,4,DACIA,976
2019,4,MAZDA,897
2019,4,CITROEN,775
2019,4,SUZUKI,759
2019,4,TOYOTA,681
2019,4,MITSUBISHI,676
2019,4,VOLVO,429
2019,4,MINI,350
2019,4,JEEP,337
2019,4,NISSAN,285
2019,4,HONDA,214
2019,4,SMART,197
2019,4,TESLA,183
2019,4,LAND ROVER,135
2019,4,ALFA ROMEO,133
2019,4,PORSCHE,102
2019,4,JAGUAR,93
2019,4,LEXUS,50
2019,4,SUBARU,44
2019,4,LADA,18
2019,4,SSANG-YONG,18
2019,4,DS,16
2019,4,FERRARI,8
2019,4,JAC,8
2019,4,LAMBORGHINI,8
2019,4,BENTLEY,6
2019,4,MASERATI,6
2019,4,KTM,2
2019,4,MORGAN,2
2019,4,ASTON MARTIN,1
2019,4,CHEVROLET,1
2019,4,DODGE,1
2019,4,LOTUS,1
2019,5,VW,4498
2019,5,SKODA,2990
2019,5,SEAT,2120
2019,5,FORD,1792
2019,5,RENAULT,1722
2019,5,OPEL,1693
2019,5,BMW,1649
2019,5,MERCEDES,1381
2019,5,HYUNDAI,1373
2019,5,AUDI,1188
2019,5,FIAT,1151
2019,5,PEUGEOT,1033
2019,5,KIA,967
2019,5,DACIA,950
2019,5,MAZDA,918
2019,5,SUZUKI,854
2019,5,TOYOTA,713
2019,5,CITROEN,660
2019,5,MITSUBISHI,464
2019,5,JEEP,352
2019,5,NISSAN,348
2019,5,VOLVO,324
2019,5,MINI,279
2019,5,SMART,229
2019,5,HONDA,208
2019,5,TESLA,178
2019,5,ALFA ROMEO,120
2019,5,LAND ROVER,111
2019,5,PORSCHE,109
2019,5,SUBARU,52
2019,5,JAGUAR,44
2019,5,LEXUS,27
2019,5,DS,17
2019,5,SSANG-YONG,15
2019,5,LADA,13
2019,5,LAMBORGHINI,6
2019,5,JAC,5
2019,5,FERRARI,4
