year,month,country,total,bev,phev,hev,other,petrol,diesel
2023,5,Austria,20623,4130,1276,4429,2,6831,3955
2023,5,Belgium,41359,7194,8875,2986,402,18306,3596
2023,5,Bulgaria,3168,134,23,55,0,2276,680
2023,5,Croatia,7165,131,63,1561,190,3713,1507
2023,5,Cyprus,1712,42,37,618,0,959,56
2023,5,Czechia,20298,575,362,3370,348,10480,5163
2023,5,Denmark,14006,4442,1505,2970,0,4261,828
2023,5,Estonia,2289,149,54,796,5,987,298
2023,5,Finland,9436,3275,1597,2417,42,1586,519
2023,5,France,145536,22667,12657,34395,6382,54267,15168
2023,5,Germany,246966,42780,13803,57842,1336,87700,43505
2023,5,Greece,12957,720,725,3715,277,6144,1376
2023,5,Hungary,9021,479,432,3384,37,3504,1185
2023,5,Iceland,2577,942,211,648,0,326,450
2023,5,Ireland,7545,1715,670,1529,0,2063,1568
2023,5,Italy,149336,6181,6592,51820,12751,43081,28911
2023,5,Latvia,1870,179,37,464,39,883,268
2023,5,Lithuania,2695,225,116,974,49,986,345
2023,5,Luxembourg,4402,911,417,802,0,1677,595
2023,5,Malta,766,102,58,200,0,333,73
2023,5,Netherlands,32942,10962,4334,7413,158,9718,357
2023,5,Norway,13342,10773,1092,1042,1,157,277
2023,5,Poland,38576,1362,1193,14028,958,16880,4155
2023,5,Portugal,19816,3378,2309,2612,1054,8375,2088
2023,5,Romania,13641,1402,0,4157,1559,4982,1541
2023,5,Slovakia,8039,284,318,2078,164,3699,1496
2023,5,Slovenia,4853,383,102,730,32,2741,865
2023,5,Spain,92024,4409,6009,27184,2314,40534,11574
2023,5,Sweden,28480,11657,5975,2034,598,5829,2387
2023,5,Switzerland,21570,4313,1683,5900,9,7486,2179
2023,5,United Kingdom,145204,24513,9025,46142,0,59766,5758
2024,5,Austria,19820,3448,1263,4444,1,6788,3876
2024,5,Belgium,38907,10418,5624,3110,239,17271,2245
2024,5,Bulgaria,3226,118,46,74,0,2241,747
2024,5,Croatia,8523,265,117,1788,134,4134,2085
2024,5,Cyprus,1301,41,47,589,0,587,37
2024,5,Czechia,19736,747,472,4432,382,8807,4896
2024,5,Denmark,14569,7239,631,2557,0,3515,627
2024,5,Estonia,1905,130,64,887,10,530,284
2024,5,Finland,7781,2223,1362,2727,15,1077,377
2024,5,France,141298,23892,10202,47573,4946,43275,11410
2024,5,Germany,236425,29708,14038,57413,875,89498,44893
2024,5,Greece,13760,405,646,5977,157,5592,983
2024,5,Hungary,9531,781,468,3873,18,3047,1344
2024,5,Iceland,2008,168,235,623,0,549,433
2024,5,Ireland,6401,1039,678,1160,0,2386,1138
2024,5,Italy,139509,5052,4579,55655,9265,44856,20102
2024,5,Latvia,1686,112,30,585,25,651,283
2024,5,Lithuania,2843,167,114,1427,22,785,328
2024,5,Luxembourg,3847,990,284,790,0,1291,492
2024,5,Malta,708,181,45,130,1,281,70
2024,5,Netherlands,28361,9681,4086,8291,96,5745,462
2024,5,Norway,10253,7893,544,1250,0,129,437
2024,5,Poland,43654,1291,1073,20932,944,15611,3803
2024,5,Portugal,19850,3147,2601,3306,1275,7498,2023
2024,5,Romania,15643,754,0,5239,1716,5710,2224
2024,5,Slovakia,7294,189,141,2222,148,3214,1380
2024,5,Slovenia,4867,283,111,430,42,3083,918
2024,5,Spain,95158,4393,4787,34079,2287,39820,9792
2024,5,Sweden,25094,7614,5824,2878,606,6258,1914
2024,5,Switzerland,21265,3568,1779,6595,2,6881,2440
2024,5,United Kingdom,147678,26031,11866,51736,0,53643,4402
2025,1,Austria,20448,3822,1642,5405,0,6505,3074
2025,1,Belgium,40594,13712,3795,4652,293,16607,1535
2025,1,Bulgaria,3995,155,39,85,14,3205,497
2025,1,Croatia,4472,69,152,1556,142,1977,576
2025,1,Cyprus,1565,149,93,689,0,609,25
2025,1,Czechia,19347,981,641,4225,378,9362,3760
2025,1,Denmark,10828,6955,190,1377,0,1955,351
2025,1,Estonia,531,83,77,254,0,82,35
2025,1,Finland,5745,1641,1367,1776,0,706,255
2025,1,France,114673,19923,4852,51447,3521,29974,4956
2025,1,Germany,207640,34498,17712,59252,864,62358,32956
