year,month,total
2019,1,903743
2019,2,905630
2019,3,1113181
2019,4,1006206
2019,5,1067896
2019,6,1075792
2019,7,987638
2019,8,788938
2019,9,796655
2019,10,896744
2019,11,878569
2019,12,901147
2020,1,839777
2020,2,843934
2020,3,462951
2020,4,205122
2020,5,505720
2020,6,830015
2020,7,943941
2020,8,653115
2020,9,810747
2020,10,829013
2020,11,766919
2020,12,872632
2021,1,633657
2021,2,668371
2021,3,903129
2021,4,748512
2021,5,768464
2021,6,902144
2021,7,710464
2021,8,511708
2021,9,616151
2021,10,569569
2021,11,608168
2021,12,676790
2022,1,590579
2022,2,622187
2022,3,722202
2022,4,584332
2022,5,677396
2022,6,766747
2022,7,641529
2022,8,544050
2022,9,680732
2022,10,645444
2022,11,718506
2022,12,773254
2023,1,661807
2023,2,694431
2023,3,944520
2023,4,697614
2023,5,814733
2023,6,912569
2023,7,747995
2023,8,673062
2023,9,742630
2023,10,737744
2023,11,764022
2023,12,740951
2024,1,742694
2024,2,766812
2024,3,899375
2024,4,788203
2024,5,782707
2024,6,938679
2024,7,740951
2024,8,538659
2024,9,688394
2024,10,735452
2024,11,737780
2024,12,766456
2025,1,716441
2025,2,736898
2025,3,890840
2025,4,796286
2025,5,794061
2025,6,869260
2025,7,784347
2025,8,560109
2025,9,751155
2025,10,776174
2025,11,755110
2025,12,797729
2026,1,695685
2026,2,747895
2026,3,996552
2026,4,834563
2026,5,816314
2026,6,979505
