year,month,model_label,count
2026,6,TOYOTA COROLLA,365
2026,6,TOYOTA YARIS,354
2026,6,TOYOTA BZ4X,350
2026,6,TESLA MOTORS MODEL Y,293
2026,6,TOYOTA YARIS CROSS,272
2026,6,TOYOTA C-HR,219
2026,6,MERCEDES-BENZ CLA-CLASS,212
2026,6,TESLA MOTORS MODEL 3,198
2026,6,VOLKSWAGEN T-ROC,163
2026,6,BMW IX3,149
2026,6,SKODA OCTAVIA,144
2026,6,SKODA ELROQ,142
2026,6,BMW I4,140
2026,6,VOLKSWAGEN GOLF,126
2026,6,SKODA FABIA,118
2026,6,POLESTAR 4,117
2026,6,MERCEDES-BENZ GLC-CLASS,116
2026,6,SKODA ENYAQ,112
2026,6,SKODA KODIAQ,107
2026,6,VOLVO XC60,107
2026,6,SEAT LEON,105
2026,6,AUDI Q6,103
2026,6,VOLKSWAGEN TIGUAN,94
2026,6,NISSAN QASHQAI,90
2026,6,KIA STONIC,84
2026,6,VOLVO EX40,82
2026,6,VOLVO EX30,76
2026,6,KIA EV3,70
2026,6,AUDI A6,69
2026,6,VOLKSWAGEN ID.4,66
2026,6,VOLKSWAGEN T-CROSS,61
2026,6,KIA PV5,57
2026,6,POLESTAR 2,56
2026,6,SMART #5,56
2026,6,MERCEDES-BENZ GLB,53
2026,6,AUDI Q5,47
2026,6,KIA K4,47
2026,6,VOLKSWAGEN ID.7,43
2026,6,CUPRA LEON,42
2026,6,BMW IX1,41
2026,6,FORD KUGA,41
2026,6,RENAULT CLIO,40
2026,6,FORD EXPLORER,39
2026,6,FORD PUMA,39
2026,6,BMW X1,37
2026,6,MITSUBISHI OUTLANDER,36
2026,6,VOLKSWAGEN PASSAT,35
2026,6,RENAULT 5,34
2026,6,MERCEDES-BENZ EQA,33
2026,6,VOLVO EC40,33
2026,6,VOLVO XC40,33
2026,6,PORSCHE CAYENNE,32
2026,6,AUDI Q4,30
2026,6,RENAULT SYMBIOZ,30
2026,6,VOLVO V60,30
2026,6,MG 4,29
2026,6,BYD ATTO,28
2026,6,SKODA KAMIQ,28
2026,6,AUDI SQ6,27
2026,6,MAZDA 6E,27
2026,6,AUDI A5,26
2026,6,OPEL ASTRA,26
2026,6,PEUGEOT 5008,26
2026,6,SKODA KAROQ,26
2026,6,SUZUKI VITARA,26
2026,6,BYD SEAL,25
2026,6,TOYOTA RAV4,25
2026,6,VOLKSWAGEN TAIGO,25
2026,6,RENAULT SCENIC,24
2026,6,BYD SEALION,23
2026,6,DACIA DUSTER,22
2026,6,DACIA BIGSTER,21
2026,6,FORD TOURNEO CUSTOM,21
2026,6,GAC AION V,21
2026,6,KIA EV4,21
2026,6,LEXUS NX450H+,21
2026,6,FORD CAPRI,20
2026,6,NISSAN MICRA,20
2026,6,RENAULT 4,20
2026,6,SKODA SUPERB,20
2026,6,VOLKSWAGEN CADDY,20
2026,6,VOLKSWAGEN TRANSPORTER,20
2026,6,CUPRA RAVAL,19
2026,6,HYUNDAI INSTER,19
2026,6,AUDI Q3,18
2026,6,BMW 3 SERIES,18
2026,6,BMW X5,18
2026,6,CUPRA TAVASCAN,18
2026,6,HYUNDAI IONIQ5,18
2026,6,KIA EV5,18
2026,6,TOYOTA URBAN,18
2026,6,AUDI A3,17
2026,6,POLESTAR 3,17
2026,6,TOYOTA PROACE,17
2026,6,XPENG G6,17
2026,6,BMW IX2,16
2026,6,CITROEN E-C3,16
2026,6,CUPRA TERRAMAR,16
2026,6,HYUNDAI TUCSON,16
2026,6,KIA CEED,16
2026,6,NISSAN ARIYA,16
2026,6,OPEL GRANDLAND,16
2026,6,SUBARU OUTBACK,16
2026,6,KIA EV6,15
2026,6,MERCEDES-BENZ EQB,15
2026,6,NISSAN JUKE,15
2026,6,PEUGEOT 3008,15
2026,6,CITROEN C5,14
2026,6,LEXUS RZ500E,14
2026,6,MERCEDES-BENZ SPRINTER,14
2026,6,MERCEDES-BENZ VITO,14
2026,6,VOLVO XC90,14
2026,6,CITROEN C3,13
