year,month,brand,count
2023,9,TESLA MOTORS,1202
2023,9,TOYOTA,1038
2023,9,SKODA,692
2023,9,KIA,621
2023,9,VOLVO,505
2023,9,MERCEDES-BENZ,466
2023,9,VOLKSWAGEN,456
2023,9,BMW,401
2023,9,NISSAN,278
2023,9,AUDI,255
2023,9,FORD,230
2023,9,HYUNDAI,170
2023,9,OPEL,151
2023,9,PEUGEOT,144
2023,9,MAZDA,80
2023,9,POLESTAR,76
2023,9,CUPRA,69
2023,9,DACIA,66
2023,9,RENAULT,62
2023,9,SUZUKI,61
2023,9,MITSUBISHI,46
2023,9,LAND ROVER,44
2023,9,CITROEN,32
2023,9,LEXUS,32
2023,9,SEAT,32
2023,9,FIAT,28
2023,9,SUBARU,26
2023,9,BYD,22
2023,9,PORSCHE,21
2023,9,HONDA,20
2023,9,DS,17
2023,9,JEEP,10
2023,9,MINI,9
2023,9,ALFA ROMEO,6
2023,9,MAXUS,5
2023,9,OTHERS,3
2023,9,FERRARI,2
2023,9,JAGUAR,2
2023,9,SSANGYONG,2
2023,9,CADILLAC,1
2023,9,MAN,1
2023,10,TOYOTA,903
2023,10,SKODA,695
2023,10,KIA,599
2023,10,VOLVO,577
2023,10,VOLKSWAGEN,420
2023,10,BMW,394
2023,10,MERCEDES-BENZ,365
2023,10,PEUGEOT,364
2023,10,AUDI,299
2023,10,HYUNDAI,247
2023,10,NISSAN,195
2023,10,MAZDA,151
2023,10,TESLA MOTORS,149
2023,10,FORD,132
2023,10,CITROEN,121
2023,10,OPEL,96
2023,10,CUPRA,61
2023,10,RENAULT,61
2023,10,MITSUBISHI,56
2023,10,DACIA,55
2023,10,PORSCHE,53
2023,10,POLESTAR,38
2023,10,SUZUKI,37
2023,10,LAND ROVER,33
2023,10,SEAT,31
2023,10,SUBARU,30
2023,10,BYD,26
2023,10,MINI,25
2023,10,LEXUS,23
2023,10,MAXUS,20
2023,10,HONDA,17
2023,10,DS,12
2023,10,SSANGYONG,8
2023,10,ALFA ROMEO,5
2023,10,FIAT,4
2023,10,JAGUAR,3
2023,10,JEEP,2
2023,10,MAN,2
2023,10,BENTLEY,1
2023,11,TOYOTA,1147
2023,11,SKODA,999
2023,11,VOLVO,620
2023,11,KIA,485
2023,11,VOLKSWAGEN,455
2023,11,TESLA MOTORS,432
2023,11,MERCEDES-BENZ,375
2023,11,BMW,356
2023,11,HYUNDAI,279
2023,11,AUDI,196
2023,11,NISSAN,176
2023,11,FORD,129
2023,11,PEUGEOT,119
2023,11,CITROEN,82
2023,11,MAZDA,82
2023,11,SUZUKI,78
2023,11,POLESTAR,71
2023,11,RENAULT,68
2023,11,OPEL,67
2023,11,DACIA,58
2023,11,MITSUBISHI,54
2023,11,SEAT,40
2023,11,CUPRA,36
2023,11,LAND ROVER,36
2023,11,LEXUS,27
2023,11,SUBARU,22
2023,11,MINI,21
2023,11,PORSCHE,17
2023,11,BYD,12
2023,11,HONDA,12
2023,11,DS,10
2023,11,JEEP,7
2023,11,ALFA ROMEO,6
2023,11,MAXUS,6
2023,11,MAN,5
2023,11,SSANGYONG,3
2023,11,JAGUAR,2
2023,11,FERRARI,1
2023,11,MUU,1
2023,11,OTHERS,1
2023,12,TOYOTA,846
2023,12,SKODA,821
2023,12,TESLA MOTORS,677
2023,12,VOLVO,559
2023,12,BMW,398
2023,12,VOLKSWAGEN,389
2023,12,KIA,334
2023,12,MERCEDES-BENZ,246
2023,12,HYUNDAI,213
2023,12,AUDI,189
2023,12,NISSAN,134
2023,12,FORD,108
2023,12,MAZDA,106
2023,12,POLESTAR,94
2023,12,CUPRA,73
2023,12,DACIA,66
2023,12,PEUGEOT,63
2023,12,CITROEN,57
2023,12,OPEL,47
2023,12,RENAULT,43
2023,12,LAND ROVER,39
2023,12,MITSUBISHI,37
2023,12,BYD,32
2023,12,SUZUKI,30
2023,12,SEAT,26
2023,12,MINI,23
2023,12,SUBARU,19
2023,12,LEXUS,18
2023,12,FIAT,17
2023,12,ALFA ROMEO,16
2023,12,PORSCHE,10
2023,12,MAXUS,5
2023,12,JAGUAR,4
2023,12,JEEP,3
2023,12,DS,2
2023,12,MUU,2
2023,12,FERRARI,1
2023,12,HONDA,1
2023,12,MAN,1
2023,12,SSANGYONG,1
2024,1,TOYOTA,1524
2024,1,SKODA,740
2024,1,VOLVO,661
2024,1,KIA,477
2024,1,VOLKSWAGEN,421
2024,1,MERCEDES-BENZ,419
2024,1,BMW,387
2024,1,NISSAN,346
2024,1,HYUNDAI,269
2024,1,AUDI,267
2024,1,TESLA MOTORS,169
2024,1,FORD,127
2024,1,CITROEN,74
2024,1,SUZUKI,68
2024,1,MAZDA,63
2024,1,MITSUBISHI,62
2024,1,LEXUS,48
2024,1,BYD,43
2024,1,RENAULT,33
2024,1,DACIA,32
2024,1,POLESTAR,30
2024,1,OPEL,29
2024,1,PORSCHE,28
2024,1,CUPRA,26
2024,1,PEUGEOT,25
2024,1,SUBARU,23
2024,1,LAND ROVER,22
2024,1,HONDA,17
2024,1,MINI,16
2024,1,SEAT,16
2024,1,JEEP,8
2024,1,ALFA ROMEO,6
2024,1,MAXUS,4
2024,1,MUU,4
2024,1,FIAT,3
2024,1,BENTLEY,2
2024,1,FERRARI,2
