year,month,fuel,count
2019,1,BEV,107
2019,1,Diesel,2805
2019,1,Other,26
2019,1,PHEV,515
2019,1,Petrol,8285
2019,2,BEV,127
2019,2,Diesel,1876
2019,2,Other,10
2019,2,PHEV,361
2019,2,Petrol,5711
2019,3,BEV,239
2019,3,Diesel,2087
2019,3,Other,36
2019,3,PHEV,460
2019,3,Petrol,6457
2019,4,BEV,190
2019,4,Diesel,1980
2019,4,Other,95
2019,4,PHEV,394
2019,4,Petrol,7089
2019,5,BEV,93
2019,5,Diesel,2112
2019,5,Other,190
2019,5,PHEV,400
2019,5,Petrol,8096
2019,6,BEV,239
2019,6,Diesel,1879
2019,6,Other,270
2019,6,PHEV,274
2019,6,Petrol,7877
2019,7,BEV,168
2019,7,Diesel,1525
2019,7,Other,257
2019,7,PHEV,251
2019,7,Petrol,7020
2019,8,BEV,151
2019,8,Diesel,1850
2019,8,Other,243
2019,8,PHEV,430
2019,8,Petrol,7320
2019,9,BEV,262
2019,9,Diesel,1378
2019,9,Other,237
2019,9,PHEV,474
2019,9,Petrol,6088
2019,10,BEV,73
2019,10,Diesel,1537
2019,10,Other,276
2019,10,PHEV,833
2019,10,Petrol,6652
2019,11,BEV,91
2019,11,Diesel,1352
2019,11,Other,273
2019,11,PHEV,768
2019,11,Petrol,6199
2019,12,BEV,157
2019,12,Diesel,1482
2019,12,Other,229
2019,12,PHEV,807
2019,12,Petrol,5540
2020,1,BEV,180
2020,1,Diesel,1637
2020,1,Other,321
2020,1,PHEV,1263
2020,1,Petrol,7400
2020,2,BEV,227
2020,2,Diesel,1255
2020,2,Other,199
2020,2,PHEV,1111
2020,2,Petrol,5479
2020,3,BEV,511
2020,3,Diesel,1454
2020,3,Other,215
2020,3,PHEV,1268
2020,3,Petrol,5752
2020,4,BEV,195
2020,4,Diesel,1029
2020,4,Other,149
2020,4,PHEV,763
2020,4,Petrol,3845
2020,5,BEV,112
2020,5,Diesel,818
2020,5,Other,58
2020,5,PHEV,557
