year,fuel,count
2019,BEV,43568
2019,Diesel,760746
2019,Hybrid,109306
2019,Other,2340
2019,PHEV,18781
2019,Petrol,1322118
2020,BEV,112519
2020,Diesel,512584
2020,Hybrid,173207
2020,Other,16617
2020,PHEV,74909
2020,Petrol,801868
2021,BEV,165435
2021,Diesel,354656
2021,Hybrid,299202
2021,Other,46315
2021,PHEV,141189
2021,Petrol,700305
2022,BEV,207364
2022,Diesel,241782
2022,Hybrid,342236
2022,Other,46951
2022,PHEV,127436
2022,Petrol,611177
2023,BEV,303801
2023,Diesel,172842
2023,Hybrid,442023
2023,Other,62859
2023,PHEV,162783
2023,Petrol,672567
2024,BEV,295468
2024,Diesel,125803
2024,Hybrid,599594
2024,Other,56717
2024,PHEV,147075
2024,Petrol,530137
2025,BEV,331093
2025,Diesel,79753
2025,Hybrid,723346
2025,Other,55826
2025,PHEV,109732
2025,Petrol,364373
