year,month,total
2019,1,160582
2019,2,177946
2019,3,230449
2019,4,191268
2019,5,194717
2019,6,228444
2019,7,172920
2019,8,133040
2019,9,176724
2019,10,194291
2019,11,178645
2019,12,219251
2020,1,137985
2020,2,171541
2020,3,63579
2020,4,21162
2020,5,98593
2020,6,237717
2020,7,182683
2020,8,107872
2020,9,172616
2020,10,175657
2020,11,130435
2020,12,193690
2021,1,130237
2021,2,136314
2021,3,188015
2021,4,144575
2021,5,144176
2021,6,202455
2021,7,119533
2021,8,91018
2021,9,137439
2021,10,123825
2021,11,126395
2021,12,164693
2022,1,106609
2022,2,119068
2022,3,151561
2022,4,112035
2022,5,129772
2022,6,174296
2022,7,110916
2022,8,95194
2022,9,145113
2022,10,129881
2022,11,138446
2022,12,164059
2023,1,116222
2023,2,129928
2023,3,186668
2023,4,134556
2023,5,147059
2023,6,191589
2023,7,131618
2023,8,115818
2023,9,160356
2023,10,156883
2023,11,158136
2023,12,188513
2024,1,126062
2024,2,145808
2024,3,183568
2024,4,149067
2024,5,142470
2024,6,182880
2024,7,129425
2024,8,87022
2024,9,142286
2024,10,139774
2024,11,137434
2024,12,189371
2025,1,118355
2025,2,144886
2025,3,156577
2025,4,140552
2025,5,124369
2025,6,169578
2025,7,117404
2025,8,89085
2025,9,143924
2025,10,143956
2025,11,136784
2025,12,179204
2026,1,110609
2026,2,123492
2026,3,176715
2026,4,139617
2026,5,128745
2026,6,188482
2026,7,127789
2026,8,95771
