year,month,brand,model,row_type,drivetrain,count_month,count_ytd,share_pct
2026,6,ALFA ROMEO,GIULIA,model,total,15,180,7.2
2026,6,ALFA ROMEO,GIULIA,model,diesel,1,17,8
2026,6,ALFA ROMEO,GIULIA,model,awd,12,135,17.2
2026,6,ALFA ROMEO,JUNIOR,model,total,306,1497,59.6
2026,6,ALFA ROMEO,JUNIOR,model,hybrid_incl_plugin,226,1246,78.6
2026,6,ALFA ROMEO,JUNIOR,model,petrol_hybrid_incl_plugin,226,1246,78.6
2026,6,ALFA ROMEO,JUNIOR,model,hybrid_excl_plugin,226,1246,79.7
2026,6,ALFA ROMEO,JUNIOR,model,petrol_hybrid_excl_plugin,226,1246,79.7
2026,6,ALFA ROMEO,JUNIOR,model,bev,80,251,100
2026,6,ALFA ROMEO,JUNIOR,model,awd,18,168,21.4
2026,6,ALFA ROMEO,STELVIO,model,total,64,460,18.3
2026,6,ALFA ROMEO,STELVIO,model,diesel,20,160,75.5
2026,6,ALFA ROMEO,STELVIO,model,awd,64,460,58.6
2026,6,ALFA ROMEO,TONALE,model,total,49,374,14.9
2026,6,ALFA ROMEO,TONALE,model,diesel,7,35,16.5
2026,6,ALFA ROMEO,TONALE,model,hybrid_incl_plugin,42,339,21.4
2026,6,ALFA ROMEO,TONALE,model,petrol_hybrid_incl_plugin,42,339,21.4
2026,6,ALFA ROMEO,TONALE,model,hybrid_excl_plugin,37,317,20.3
2026,6,ALFA ROMEO,TONALE,model,petrol_hybrid_excl_plugin,37,317,20.3
2026,6,ALFA ROMEO,TONALE,model,plugin_hybrid,5,22,100
2026,6,ALFA ROMEO,TONALE,model,petrol_plugin_hybrid,5,22,100
2026,6,ALFA ROMEO,TONALE,model,awd,5,22,2.8
2026,6,ALFA ROMEO,,brand_total,total,434,2511,0.2
2026,6,ALFA ROMEO,,brand_total,diesel,28,212,0.1
2026,6,ALFA ROMEO,,brand_total,hybrid_incl_plugin,268,1585,0.3
2026,6,ALFA ROMEO,,brand_total,petrol_hybrid_incl_plugin,268,1585,0.3
2026,6,ALFA ROMEO,,brand_total,hybrid_excl_plugin,263,1563,0.4
2026,6,ALFA ROMEO,,brand_total,petrol_hybrid_excl_plugin,263,1563,0.5
2026,6,ALFA ROMEO,,brand_total,plugin_hybrid,5,22,0
2026,6,ALFA ROMEO,,brand_total,petrol_plugin_hybrid,5,22,0
2026,6,ALFA ROMEO,,brand_total,bev,80,251,0.1
2026,6,ALFA ROMEO,,brand_total,awd,99,785,0.2
2026,6,ALPINE,A110,model,total,15,85,10.6
2026,6,ALPINE,A290,model,total,152,569,70.9
2026,6,ALPINE,A290,model,bev,152,569,83.2
2026,6,ALPINE,A390,model,total,38,115,14.3
2026,6,ALPINE,A390,model,bev,38,115,16.8
2026,6,ALPINE,A390,model,awd,38,115,100
2026,6,ALPINE,SONSTIGE,model,total,2,34,4.2
2026,6,ALPINE,,brand_total,total,207,803,0.1
2026,6,ALPINE,,brand_total,bev,190,684,0.2
2026,6,ALPINE,,brand_total,awd,38,115,0
2026,6,ASTON MARTIN,SONSTIGE,model,total,67,322,100
2026,6,ASTON MARTIN,SONSTIGE,model,hybrid_incl_plugin,1,16,100
2026,6,ASTON MARTIN,SONSTIGE,model,petrol_hybrid_incl_plugin,1,16,100
2026,6,ASTON MARTIN,SONSTIGE,model,plugin_hybrid,1,16,100
2026,6,ASTON MARTIN,SONSTIGE,model,petrol_plugin_hybrid,1,16,100
2026,6,ASTON MARTIN,SONSTIGE,model,awd,14,99,100
2026,6,ASTON MARTIN,SONSTIGE,model,cabriolet,18,102,100
2026,6,ASTON MARTIN,,brand_total,total,67,322,0
2026,6,ASTON MARTIN,,brand_total,hybrid_incl_plugin,1,16,0
2026,6,ASTON MARTIN,,brand_total,petrol_hybrid_incl_plugin,1,16,0
2026,6,ASTON MARTIN,,brand_total,plugin_hybrid,1,16,0
2026,6,ASTON MARTIN,,brand_total,petrol_plugin_hybrid,1,16,0
2026,6,ASTON MARTIN,,brand_total,awd,14,99,0
2026,6,ASTON MARTIN,,brand_total,cabriolet,18,102,0.5
2026,6,AUDI,A1,model,total,299,6202,5.8
2026,6,AUDI,A3,model,total,2823,13825,13
2026,6,AUDI,A3,model,diesel,432,2004,32.6
2026,6,AUDI,A3,model,hybrid_incl_plugin,1602,7306,14.7
2026,6,AUDI,A3,model,petrol_hybrid_incl_plugin,1602,7306,21.4
2026,6,AUDI,A3,model,hybrid_excl_plugin,1139,4490,15.8
2026,6,AUDI,A3,model,petrol_hybrid_excl_plugin,1139,4490,34.7
2026,6,AUDI,A3,model,plugin_hybrid,463,2816,13.3
2026,6,AUDI,A3,model,petrol_plugin_hybrid,463,2816,13.3
2026,6,AUDI,A3,model,awd,666,3779,7
2026,6,AUDI,A4,model,total,1,8,0
2026,6,AUDI,A4,model,awd,1,8,0
2026,6,AUDI,A5,model,total,3647,16455,15.5
2026,6,AUDI,A5,model,diesel,7,21,0.3
2026,6,AUDI,A5,model,hybrid_incl_plugin,2603,12506,25.2
2026,6,AUDI,A5,model,petrol_hybrid_incl_plugin,1747,7183,21
2026,6,AUDI,A5,model,diesel_hybrid_incl_plugin,856,5323,34.2
2026,6,AUDI,A5,model,hybrid_excl_plugin,1192,6599,23.2
2026,6,AUDI,A5,model,petrol_hybrid_excl_plugin,336,1276,9.9
