year,month,body,count
2025,4,Estate,12893
2025,4,Hatchback,10795
2025,4,MPV,8321
2025,4,Sedan,1076
2025,4,Other,722
2025,4,Convertible,220
2025,4,Coupé,80
2025,5,Estate,13755
2025,5,Hatchback,10915
2025,5,MPV,9682
2025,5,Sedan,1309
2025,5,Other,543
2025,5,Convertible,163
2025,5,Coupé,100
2025,6,Estate,15865
2025,6,Hatchback,12518
2025,6,MPV,9672
2025,6,Sedan,2021
2025,6,Other,454
2025,6,Convertible,130
2025,6,Coupé,84
2025,7,Estate,12763
2025,7,Hatchback,10175
2025,7,MPV,8483
2025,7,Sedan,964
2025,7,Other,489
2025,7,Convertible,105
2025,7,Coupé,74
2025,8,Hatchback,9696
2025,8,Estate,9580
2025,8,MPV,7981
2025,8,Sedan,1185
2025,8,Other,350
2025,8,Convertible,91
2025,8,Coupé,55
2025,9,Estate,11990
2025,9,Hatchback,11989
2025,9,MPV,9167
2025,9,Sedan,1702
2025,9,Other,232
2025,9,Convertible,64
2025,9,Coupé,47
2025,10,Estate,13946
2025,10,Hatchback,12568
2025,10,MPV,9207
2025,10,Sedan,1096
2025,10,Other,247
2025,10,Convertible,53
2025,10,Coupé,50
2025,11,Estate,12907
2025,11,Hatchback,12717
2025,11,MPV,8416
2025,11,Sedan,2159
2025,11,Other,206
2025,11,Coupé,47
2025,11,Convertible,47
2025,12,Hatchback,17049
2025,12,Estate,16750
2025,12,MPV,13006
2025,12,Sedan,2234
2025,12,Other,215
2025,12,Convertible,57
2025,12,Coupé,13
2026,1,Estate,10611
2026,1,Hatchback,9998
2026,1,MPV,7381
2026,1,Sedan,936
2026,1,Other,314
2026,1,Convertible,133
2026,1,Coupé,67
2026,2,Hatchback,7781
2026,2,Estate,7434
2026,2,MPV,6922
2026,2,Sedan,818
2026,2,Other,483
2026,2,Convertible,88
2026,2,Coupé,54
2026,3,Estate,10851
2026,3,Hatchback,9951
2026,3,MPV,9383
2026,3,Sedan,1726
2026,3,Other,446
2026,3,Convertible,121
2026,3,Coupé,77
2026,4,Estate,9269
2026,4,Hatchback,8080
2026,4,MPV,7727
2026,4,Sedan,772
2026,4,Other,518
2026,4,Convertible,94
2026,4,Coupé,29
2026,5,Estate,10446
2026,5,Hatchback,9450
2026,5,MPV,8727
2026,5,Sedan,1427
2026,5,Other,372
2026,5,Convertible,104
2026,5,Coupé,58
2026,6,Estate,13468
2026,6,Hatchback,12382
2026,6,MPV,11464
2026,6,Sedan,1568
2026,6,Other,381
2026,6,Convertible,117
2026,6,Coupé,80
2026,7,Estate,9862
2026,7,Hatchback,8754
2026,7,MPV,8288
2026,7,Sedan,622
2026,7,Other,363
2026,7,Convertible,83
2026,7,Coupé,47
