year,month,brand,model,count
2026,8,TOYOTA,TOYOTA AYGO X,664
2026,8,HYUNDAI,KONA,631
2026,8,KIA,EV2,565
2026,8,KIA,EV3,565
2026,8,KIA,PICANTO,564
2026,8,TESLA,MODEL Y,549
2026,8,TESLA,MODEL 3,483
2026,8,HYUNDAI,INSTER,419
2026,8,FORD,PUMA,390
2026,8,KIA,EV5,389
2026,8,CUPRA,RAVAL 155KW,374
2026,8,FORD,KUGA,373
2026,8,PEUGEOT,2008,365
2026,8,BMW,IX1 EDRIVE20,364
2026,8,RENAULT,RENAULT 5 E-TECH ELECTRIC,362
2026,8,TOYOTA,TOYOTA C-HR,326
2026,8,SKODA,ELROQ 60,307
2026,8,RENAULT,CLIO,281
2026,8,BMW,IX3 40,270
2026,8,SKODA,ELROQ 85,268
2026,8,SKODA,KODIAQ,264
2026,8,VOLVO,EX40,260
2026,8,VOLKSWAGEN,T-ROC,258
2026,8,TOYOTA,TOYOTA COROLLA,257
2026,8,VOLVO,EX30,252
2026,8,PEUGEOT,208,249
2026,8,OPEL,CORSA,247
2026,8,BYD,BYD ATTO 2  DM-I,244
2026,8,TOYOTA,TOYOTA YARIS,240
2026,8,VOLKSWAGEN,TIGUAN,232
2026,8,TOYOTA,URBAN CRUISER,226
2026,8,TOYOTA,TOYOTA YARIS CROSS,221
2026,8,VOLKSWAGEN,POLO,215
2026,8,SUZUKI,SWIFT,211
2026,8,CITROEN,E-C3,200
2026,8,BYD,BYD SEAL U DM-I,184
2026,8,MERCEDES-BENZ,GLA 250 E,182
2026,8,BMW,IX3 50 XDRIVE,181
2026,8,HYUNDAI,TUCSON,179
2026,8,DACIA,SANDERO,175
2026,8,OPEL,FRONTERA,168
2026,8,SKODA,ENYAQ 85,168
2026,8,BMW,X3 30E XDRIVE,165
2026,8,KIA,EV4,162
2026,8,KIA,SPORTAGE,154
2026,8,RENAULT,RENAULT 4 E-TECH ELECTRIC,154
2026,8,NISSAN,NISSAN QASHQAI,150
2026,8,MERCEDES-BENZ,CLA 250+,138
2026,8,FORD,EXPLORER,138
2026,8,TOYOTA,TOYOTA RAV4,137
2026,8,BMW,X5 XDRIVE50E,137
2026,8,VOLKSWAGEN,ID.4 PRO 210KW,136
