year,month,brand,model,count
2025,4,KIA,EV3,875
2025,4,TOYOTA,TOYOTA YARIS CROSS,709
2025,4,KIA,NIRO,677
2025,4,KIA,PICANTO,631
2025,4,VOLKSWAGEN,TIGUAN,620
2025,4,SKODA,KODIAQ,534
2025,4,TOYOTA,TOYOTA YARIS,513
2025,4,SUZUKI,SWIFT,470
2025,4,TOYOTA,TOYOTA AYGO X,452
2025,4,OPEL,CORSA,452
2025,4,SKODA,ELROQ 60,439
2025,4,VOLVO,XC60,432
2025,4,PEUGEOT,2008,423
2025,4,PEUGEOT,208,406
2025,4,HYUNDAI,KONA,402
2025,4,RENAULT,RENAULT 5 E-TECH ELECTRIC,381
2025,4,SKODA,ELROQ 85,377
2025,4,VOLVO,EX30,373
2025,4,TOYOTA,TOYOTA COROLLA,361
2025,4,FORD,PUMA,341
2025,4,FORD,EXPLORER,314
2025,4,VOLKSWAGEN,POLO,310
2025,4,VOLKSWAGEN,GOLF,303
2025,4,KIA,CEED,302
2025,4,NISSAN,NISSAN QASHQAI,294
2025,4,LYNK&CO,LYNK & CO 01,287
2025,4,RENAULT,CAPTUR E-TECH HYBRID,287
2025,4,PEUGEOT,3008,285
2025,4,VOLKSWAGEN,T-CROSS,279
2025,4,VOLVO,V60,277
2025,4,SEAT,IBIZA,270
2025,4,TOYOTA,TOYOTA C-HR,251
2025,4,AUDI,Q4 45 E-TRON,250
2025,4,RENAULT,AUSTRAL,241
2025,4,BMW,IX1 EDRIVE20,241
2025,4,MG,MG5 ELECTRIC,238
2025,4,KIA,SPORTAGE,235
2025,4,VOLVO,EX40,227
2025,4,HYUNDAI,I10,227
2025,4,SKODA,KAMIQ,223
2025,4,KIA,STONIC,220
2025,4,VOLVO,XC90,220
2025,4,SKODA,OCTAVIA,218
2025,4,RENAULT,SYMBIOZ,218
2025,4,VOLKSWAGEN,TAYRON,218
2025,4,HYUNDAI,INSTER,217
2025,4,JEEP,AVENGER,204
2025,4,TOYOTA,TOYOTA RAV4,202
2025,4,VOLKSWAGEN,T-ROC,202
2025,4,TESLA,MODEL 3,199
2025,4,SUZUKI,VITARA,195
2025,4,VOLVO,XC40,192
2025,4,FORD,FOCUS,190
2025,4,BYD,BYD SEAL U DM-I,182
2025,4,TESLA,MODEL Y,181
2025,4,LAND ROVER,RANGE ROVER SPORT,179
2025,4,RENAULT,CLIO E-TECH HYBRID,176
