year,month,brand,count
2023,9,VOLKSWAGEN,3336
2023,9,TOYOTA,3106
2023,9,KIA,2814
2023,9,BMW,2391
2023,9,TESLA,1944
2023,9,SKODA,1818
2023,9,PEUGEOT,1817
2023,9,AUDI,1763
2023,9,MERCEDES-BENZ,1723
2023,9,VOLVO,1645
2023,9,RENAULT,1595
2023,9,HYUNDAI,1453
2023,9,FORD,1354
2023,9,OPEL,1228
2023,9,SUZUKI,929
2023,9,MAZDA,915
2023,9,MG,759
2023,9,NISSAN,731
2023,9,FIAT,576
2023,9,CITROEN,567
2023,9,MINI,557
2023,9,DACIA,519
2023,9,SEAT,471
2023,9,JEEP,413
2023,9,LYNK&CO,350
2023,9,MITSUBISHI,328
2023,9,CUPRA,285
2023,9,PORSCHE,274
2023,9,LAND ROVER,247
2023,9,HONDA,166
2023,9,POLESTAR,154
2023,9,BYD,114
2023,9,ALFA ROMEO,96
2023,9,DS,73
2023,9,LEXUS,65
2023,9,XPENG,39
2023,9,ADRIA,38
2023,9,VW,31
2023,9,SUBARU,22
2023,9,HYMER,21
2023,9,LOTUS,19
2023,9,AIWAYS,18
2023,9,KNAUS,17
2023,9,CAPRON,16
2023,9,WEINSBERG,15
2023,9,NIO,14
2023,9,BENTLEY,12
2023,9,SMART,12
2023,9,ABARTH,11
2023,9,BURSTNER GMBH,11
2023,9,JAGUAR,11
2023,9,WESTFALIA,11
2023,9,FERRARI,10
2023,9,MERCEDES-AMG,10
2023,9,DETHLEFFS,9
2023,9,POESSL,9
2023,9,FAW,8
2023,9,CARTHAGO,7
2023,9,ASTON MARTIN,6
2023,9,ALPINA,5
2023,9,LUCID MOTORS,5
2023,9,CHALLENGER,4
2023,9,CHRYSLER,4
2023,9,LAIKA,4
2023,9,LAMBORGHINI,4
2023,9,POSSL,4
2023,9,ALPINE,3
2023,9,CHAUSSON,3
2023,9,MC LOUIS,3
2023,9,SSANGYONG,3
2023,9,SUN LIVING,3
2023,9,VOYAH,3
2023,9,AUTOMOBILI LAMBORGHINI S.,2
2023,9,GREAT WALL MOTOR COMPANY,2
2023,9,HOBBY,2
2023,9,KABE,2
2023,9,LMC,2
2023,9,MOOVEO,2
2023,9,CHEVROLET,1
2023,9,ETRUSCO,1
2023,9,EURA MOBIL,1
2023,9,FRANKIA,1
2023,9,GIOTTILINE,1
2023,9,KARMA,1
2023,9,LA STRADA,1
2023,9,LANCIA,1
2023,9,MASERATI,1
2023,9,MAXUS,1
2023,9,MEGA MOBIL,1
2023,9,MOBILVETTA,1
2023,9,RANDGER,1
2023,9,RAPIDO,1
2023,9,ROLLS ROYCE,1
2023,9,ROLLS-ROYCE,1
2023,9,SERES,1
2023,9,STELLA,1
2023,9,TOURNE MOBIL,1
2023,9,WINGAMM,1
2023,9,YUEDA-HUMAN HORIZONS,1
2023,9,ZEEKR,1
2023,10,VOLKSWAGEN,3368
2023,10,KIA,3143
2023,10,TOYOTA,2345
2023,10,BMW,2051
2023,10,AUDI,1918
2023,10,SKODA,1905
2023,10,VOLVO,1779
2023,10,HYUNDAI,1741
2023,10,RENAULT,1638
2023,10,PEUGEOT,1542
2023,10,MERCEDES-BENZ,1505
2023,10,FORD,1275
2023,10,TESLA,1113
2023,10,OPEL,995
2023,10,SUZUKI,904
2023,10,FIAT,691
2023,10,MAZDA,658
2023,10,SEAT,653
2023,10,DACIA,605
2023,10,MINI,494
2023,10,NISSAN,473
2023,10,CITROEN,463
2023,10,CUPRA,423
2023,10,PORSCHE,377
2023,10,JEEP,369
2023,10,LYNK&CO,309
2023,10,MITSUBISHI,289
2023,10,LAND ROVER,247
2023,10,MG,163
2023,10,BYD,121
2023,10,HONDA,121
2023,10,POLESTAR,119
2023,10,ALFA ROMEO,73
2023,10,LEXUS,73
2023,10,XPENG,65
2023,10,DS,64
2023,10,NIO,38
2023,10,LOTUS,27
2023,10,SMART,25
2023,10,ADRIA,22
2023,10,JAGUAR,22
2023,10,WEINSBERG,20
2023,10,HYMER,19
2023,10,KNAUS,16
2023,10,BENTLEY,15
2023,10,CAPRON,14
2023,10,DETHLEFFS,13
2023,10,CARTHAGO,11
2023,10,SUBARU,11
2023,10,ABARTH,9
2023,10,AIWAYS,9
2023,10,CHAUSSON,8
2023,10,MERCEDES-AMG,8
2023,10,WESTFALIA,8
2023,10,MAN,7
2023,10,ASTON MARTIN,6
2023,10,BURSTNER GMBH,6
2023,10,FERRARI,6
2023,10,CHERY,5
2023,10,FISKER,5
2023,10,POESSL,5
2023,10,HOBBY,4
2023,10,LAMBORGHINI,4
2023,10,MASERATI,4
2023,10,MC LOUIS,4
2023,10,POSSL,4
2023,10,ALPINE,3
2023,10,CONCORDE,3
2023,10,FAW,3
2023,10,LMC,3
2023,10,AUTOMOBILI LAMBORGHINI S.,2
2023,10,BRAVIA,2
2023,10,ETRUSCO,2
2023,10,EURA MOBIL,2
2023,10,MORELO,2
2023,10,NIESMANN+BISCHOFF,2
2023,10,PILOTE,2
2023,10,RAPIDO,2
2023,10,RIMOR,2
2023,10,TOURNE MOBIL,2
2023,10,VW,2
2023,10,ALPINA,1
2023,10,BENIMAR,1
2023,10,CHEVROLET,1
2023,10,CHRYSLER,1
