year,month,body,count
2025,4,Hatchback,44574
2025,4,Estate,27153
2025,4,MPV & SUV,23868
2025,4,Sedan,2520
2025,4,Convertible,456
2025,4,Other,373
2025,4,Coupé,264
2025,5,Hatchback,52430
2025,5,Estate,31764
2025,5,MPV & SUV,25329
2025,5,Sedan,2909
2025,5,Convertible,413
2025,5,Other,378
2025,5,Coupé,303
2025,6,Hatchback,51921
2025,6,Estate,34636
2025,6,MPV & SUV,26941
2025,6,Sedan,4249
2025,6,Other,538
2025,6,Convertible,516
2025,6,Coupé,318
2025,7,Hatchback,42150
2025,7,Estate,28703
2025,7,MPV & SUV,25214
2025,7,Sedan,2040
2025,7,Other,458
2025,7,Convertible,331
2025,7,Coupé,245
2025,8,Hatchback,27409
2025,8,Estate,17074
2025,8,MPV & SUV,14192
2025,8,Sedan,2262
2025,8,Other,231
2025,8,Convertible,205
2025,8,Coupé,157
2025,9,Hatchback,38245
2025,9,Estate,23372
2025,9,MPV & SUV,19550
2025,9,Sedan,3566
2025,9,Convertible,244
2025,9,Coupé,212
2025,9,Other,166
2025,10,Hatchback,42299
2025,10,Estate,28550
2025,10,MPV & SUV,23225
2025,10,Sedan,2234
2025,10,Coupé,410
2025,10,Convertible,330
2025,10,Other,279
2025,11,Hatchback,41408
2025,11,Estate,26801
2025,11,MPV & SUV,22338
2025,11,Sedan,3026
2025,11,Other,310
2025,11,Convertible,256
2025,11,Coupé,221
2025,12,Hatchback,45540
2025,12,Estate,30395
2025,12,MPV & SUV,23755
2025,12,Sedan,2968
2025,12,Other,221
2025,12,Convertible,204
2025,12,Coupé,166
2026,1,Hatchback,33547
2026,1,Estate,20874
2026,1,MPV & SUV,16622
2026,1,Sedan,1803
2026,1,Convertible,250
2026,1,Coupé,230
2026,1,Other,157
2026,2,Hatchback,43616
2026,2,Estate,26776
2026,2,MPV & SUV,23347
2026,2,Sedan,3660
2026,2,Convertible,245
2026,2,Coupé,228
2026,2,Other,132
2026,3,Hatchback,57354
2026,3,Estate,35566
2026,3,MPV & SUV,33245
2026,3,Sedan,3944
2026,3,Convertible,489
2026,3,Coupé,313
2026,3,Other,164
2026,4,Hatchback,46569
2026,4,Estate,31677
2026,4,MPV & SUV,26464
2026,4,Sedan,2132
2026,4,Convertible,469
2026,4,Coupé,220
2026,4,Other,153
2026,5,Hatchback,48848
2026,5,Estate,31330
2026,5,MPV & SUV,28620
2026,5,Sedan,3053
2026,5,Convertible,416
2026,5,Coupé,254
2026,5,Other,157
2026,6,Hatchback,57951
2026,6,Estate,34633
2026,6,MPV & SUV,30566
2026,6,Sedan,5101
2026,6,Convertible,537
2026,6,Coupé,252
2026,6,Other,191
2026,7,Hatchback,45500
2026,7,Estate,27875
2026,7,MPV & SUV,26840
2026,7,Sedan,1877
2026,7,Convertible,340
2026,7,Coupé,278
2026,7,Other,171
