year,month,brand,count
2023,9,TOYOTA,5781
2023,9,KIA,4264
2023,9,PEUGEOT,4055
2023,9,CITROEN,3886
2023,9,VOLKSWAGEN,3777
2023,9,HYUNDAI,3597
2023,9,MERCEDES-BENZ,3338
2023,9,RENAULT,3338
2023,9,DACIA,3086
2023,9,SEAT,2913
2023,9,MG,2811
2023,9,BMW,2313
2023,9,AUDI,2255
2023,9,SKODA,2210
2023,9,NISSAN,2198
2023,9,FORD,2075
2023,9,OPEL,1643
2023,9,MAZDA,1485
2023,9,FIAT,1212
2023,9,CUPRA,950
2023,9,MINI,760
2023,9,VOLVO,728
2023,9,TESLA,727
2023,9,LEXUS,555
2023,9,SUZUKI,476
2023,9,JEEP,427
2023,9,MITSUBISHI,281
2023,9,HONDA,263
2023,9,DS,258
2023,9,ALFA ROMEO,154
2023,9,SSANGYONG,134
2023,9,PORSCHE,131
2023,9,SMART,104
2023,9,SUBARU,101
2023,9,LYNK&CO,81
2023,9,BYD,48
2023,9,DFSK,40
2023,9,POLESTAR,21
2023,9,DR,19
2023,9,MASERATI,18
2023,9,MERCEDES-AMG,16
2023,9,OMB,11
2023,9,INEOS,10
2023,9,ABARTH,8
2023,9,LAND ROVER,6
2023,9,SWM,6
2023,9,FERRARI,6
2023,9,OMODA,6
2023,9,RODRIGUEZ LOPEZ AUTO,6
2023,9,BENTLEY,5
2023,9,ASTON MARTIN,5
2023,9,ALPINE,5
2023,9,LOTUS,4
2023,9,AUTOMOBILI LAMBORGHINI S.P.A.,4
2023,9,DODGE,4
2023,9,REHATRANS,3
2023,9,VOLKSWAGEN V W,3
2023,9,CHEVROLET,2
2023,9,ZHIDOU,2
2023,9,ALLIED VEHICLES LTD,2
2023,9,TRIPOD,2
2023,9,FORD-CNG-TECHNIK,1
2023,9,SERES,1
2023,9,MERCEDES,1
2023,9,LAMBORGHINI,1
2023,9,TESLA MOTORS,1
2023,9,DAIMLER CHRYSLER,1
2023,9,INFINITI,1
2023,9,STIL CONVERSION,1
2023,9,SCANIA,1
2023,9,JAGUAR,1
2023,9,SKYWELL,1
2023,9,SAAB,1
2023,9,CADILLAC,1
2023,9,TECME,1
2023,9,IVECO,1
2023,9,JOHN DEERE,1
2023,10,TOYOTA,7001
2023,10,KIA,5960
2023,10,HYUNDAI,5280
2023,10,RENAULT,4960
2023,10,VOLKSWAGEN,4928
2023,10,DACIA,4857
2023,10,PEUGEOT,4657
2023,10,SEAT,4121
2023,10,CITROEN,3973
2023,10,MERCEDES-BENZ,3748
2023,10,AUDI,3501
2023,10,MG,3218
2023,10,FORD,2733
2023,10,FIAT,2705
2023,10,NISSAN,2535
2023,10,SKODA,2516
2023,10,OPEL,2429
2023,10,BMW,2263
2023,10,CUPRA,1660
2023,10,MAZDA,1386
2023,10,JEEP,1212
2023,10,VOLVO,1137
2023,10,TESLA,756
2023,10,MINI,748
2023,10,LEXUS,615
2023,10,SUZUKI,458
2023,10,SMART,307
2023,10,HONDA,292
2023,10,MITSUBISHI,271
2023,10,DS,253
2023,10,ALFA ROMEO,224
2023,10,PORSCHE,221
2023,10,SSANGYONG,158
2023,10,SUBARU,122
2023,10,BYD,117
2023,10,AIWAYS,46
2023,10,MASERATI,39
2023,10,LYNK&CO,35
2023,10,DFSK,31
2023,10,OMODA,29
2023,10,DR,27
2023,10,POLESTAR,15
2023,10,ALPINE,8
2023,10,INEOS,7
2023,10,VOLKSWAGEN V W,7
2023,10,BENTLEY,7
2023,10,REHATRANS,7
2023,10,LAND ROVER,6
2023,10,ABARTH,6
2023,10,FERRARI,5
2023,10,ASTON MARTIN,5
2023,10,OMB,4
2023,10,MERCEDES-AMG,3
2023,10,ZHIDOU,3
2023,10,AUTOMOBILI LAMBORGHINI S.P.A.,3
2023,10,CHEVROLET,3
2023,10,YUDO,3
2023,10,JAGUAR,3
2023,10,CHRYSLER,2
2023,10,VOLKSWAGEN-AUTOVERO,2
2023,10,VOYAH,2
2023,10,STIL CONVERSION,2
2023,10,DODGE,1
2023,10,RODRIGUEZ LOPEZ AUTO,1
2023,10,POLARIS,1
2023,10,CATERHAM CARS LTD,1
2023,10,JOSKIN,1
2023,10,SUNWARD,1
2023,10,MCLAREN,1
2023,10,OLDSMOBILE,1
2023,10,MAN,1
2023,10,MAXUS,1
2023,10,KAWASAKI,1
2023,10,ALLIED VEHICLES LTD,1
2023,10,KRONE,1
2023,10,MERCEDES,1
2023,11,TOYOTA,6839
2023,11,KIA,5775
2023,11,VOLKSWAGEN,5643
2023,11,HYUNDAI,5387
2023,11,DACIA,4786
2023,11,SEAT,4431
2023,11,RENAULT,4184
2023,11,PEUGEOT,3548
2023,11,MERCEDES-BENZ,3515
2023,11,CITROEN,3078
2023,11,BMW,2870
2023,11,SKODA,2748
2023,11,MG,2719
2023,11,AUDI,2584
2023,11,TESLA,2472
2023,11,NISSAN,2371
2023,11,FORD,2243
2023,11,OPEL,1995
2023,11,MAZDA,1504
2023,11,FIAT,1181
2023,11,CUPRA,1122
2023,11,JEEP,1102
2023,11,VOLVO,1022
2023,11,MINI,736
2023,11,LEXUS,539
2023,11,MITSUBISHI,418
2023,11,SUZUKI,392
2023,11,DS,335
2023,11,HONDA,276
2023,11,ALFA ROMEO,249
2023,11,PORSCHE,247
2023,11,SSANGYONG,161
2023,11,BYD,151
2023,11,SMART,134
2023,11,SUBARU,101
2023,11,LYNK&CO,98
2023,11,OMODA,61
2023,11,DFSK,48
2023,11,DR,42
2023,11,MASERATI,34
2023,11,POLESTAR,24
2023,11,RODRIGUEZ LOPEZ AUTO,10
2023,11,LAND ROVER,8
2023,11,INEOS,8
2023,11,JAGUAR,7
2023,11,VOLKSWAGEN V W,7
2023,11,MERCEDES-AMG,6
2023,11,BENTLEY,5
2023,11,CHEVROLET,4
2023,11,SWM,4
2023,11,ABARTH,4
2023,11,FERRARI,3
2023,11,IVECO,3
2023,11,REHATRANS,3
2023,11,SERES,2
2023,11,ALLIED VEHICLES LTD,2
2023,11,MAN,2
2023,11,MASSEY-FERGUSON,2
2023,11,MERCEDES,2
2023,11,AUTOMOBILI LAMBORGHINI S.P.A.,2
