year,month,brand,model,count
2023,9,MG,MG ZS,2205
2023,9,NISSAN,NISSAN QASHQAI,1500
2023,9,TOYOTA,TOYOTA C-HR,1425
2023,9,DACIA,SANDERO,1371
2023,9,TOYOTA,TOYOTA COROLLA,1329
2023,9,KIA,SPORTAGE,1295
2023,9,VOLKSWAGEN,T-ROC,1173
2023,9,HYUNDAI,TUCSON,1055
2023,9,SEAT,ARONA,1043
2023,9,TOYOTA,TOYOTA RAV4,1009
2023,9,DACIA,DUSTER,915
2023,9,TOYOTA,TOYOTA YARIS CROSS,841
2023,9,PEUGEOT,N2008 ALLURE PURETECH,809
2023,9,FORD,PUMA,766
2023,9,HYUNDAI,KONA,751
2023,9,CITROEN,NUEVO C3 PURETECH 83 S,748
2023,9,TOYOTA,TOYOTA YARIS,733
2023,9,KIA,STONIC,732
2023,9,SEAT,IBIZA,705
2023,9,CITROEN,C3 AIRCROSS PURETECH 1,681
2023,9,RENAULT,CLIO,678
2023,9,SKODA,KAMIQ,676
2023,9,KIA,NIRO,669
2023,9,TESLA,MODEL Y,652
2023,9,FORD,KUGA,629
2023,9,DACIA,JOGGER,623
2023,9,RENAULT,CAPTUR,619
2023,9,FIAT,FIAT 500,583
2023,9,HYUNDAI,I20,562
2023,9,VOLKSWAGEN,GOLF,545
2023,9,MAZDA,MAZDA CX-30,532
2023,9,RENAULT,AUSTRAL,522
2023,9,MERCEDES-BENZ,GLC 220 D 4MATIC,509
2023,9,VOLVO,XC40,498
2023,9,KIA,CEED,490
2023,9,KIA,XCEED,489
2023,9,SEAT,SEAT ATECA,471
2023,9,NISSAN,NISSAN JUKE,463
2023,9,VOLKSWAGEN,TAIGO,442
2023,9,CUPRA,FORMENTOR,438
2023,9,VOLKSWAGEN,POLO,438
2023,9,CITROEN,NUEVO C3 BLUE HDI 100,437
2023,9,SKODA,FABIA,429
2023,9,AUDI,A3 SPORTBACK,425
2023,9,VOLKSWAGEN,T-CROSS,411
2023,9,CITROEN,NUEVO C4 PURETECH 130,409
2023,9,SKODA,KAROQ,387
2023,9,CITROEN,C5 AIRCROSS PLUG-IN HY,364
2023,9,FORD,FOCUS,356
2023,9,HYUNDAI,I10,353
2023,9,VOLKSWAGEN,TIGUAN,348
