year,month,fuel,count
2023,9,Petrol,46761
2023,9,Diesel,10277
2023,9,BEV,3853
2023,9,Other,1754
2023,10,Petrol,60093
2023,10,Diesel,12849
2023,10,BEV,5628
2023,10,Other,3076
2023,11,Petrol,56257
2023,11,Diesel,11548
2023,11,BEV,6278
2023,11,Other,3188
2023,12,Petrol,59063
2023,12,Diesel,12698
2023,12,BEV,6062
2023,12,Other,3155
2024,1,Petrol,50721
2024,1,Diesel,10265
2024,1,BEV,3498
2024,1,Other,2844
2024,2,Petrol,62649
2024,2,Diesel,11314
2024,2,BEV,3926
2024,2,Other,2530
2024,3,Petrol,75400
2024,3,Diesel,12008
2024,3,BEV,4328
2024,3,Other,2300
2024,4,Petrol,71246
2024,4,Diesel,13032
2024,4,BEV,4023
2024,4,Other,3527
2024,5,Petrol,74747
2024,5,Diesel,13706
2024,5,BEV,4588
2024,5,Other,2418
2024,6,Petrol,78624
2024,6,Diesel,16154
2024,6,BEV,5701
2024,6,Other,2784
2024,7,Petrol,64419
2024,7,Diesel,12903
2024,7,BEV,3999
2024,7,Other,2680
2024,8,Petrol,39408
2024,8,Diesel,7601
2024,8,BEV,2752
2024,8,Other,2524
2024,9,Petrol,53455
2024,9,Diesel,10362
2024,9,BEV,6395
2024,9,Other,3024
2024,10,Petrol,63532
2024,10,Diesel,11698
2024,10,BEV,4878
2024,10,Other,3187
2024,11,Petrol,62914
2024,11,Diesel,10461
2024,11,BEV,5902
2024,11,Other,3544
2024,12,Petrol,79623
2024,12,Diesel,12496
2024,12,BEV,8961
2024,12,Other,3531
2025,1,Petrol,55621
2025,1,Diesel,8568
2025,1,BEV,5188
2025,1,Other,3209
2025,2,Petrol,70636
2025,2,Diesel,9295
2025,2,BEV,6287
2025,2,Other,4475
2025,3,Petrol,90334
2025,3,Diesel,11382
2025,3,BEV,8376
2025,3,Other,6643
2025,4,Petrol,76627
2025,4,Diesel,11140
2025,4,BEV,7051
2025,4,Other,4390
2025,5,Petrol,85853
2025,5,Diesel,11886
2025,5,BEV,9192
2025,5,Other,6595
2025,6,Petrol,89159
2025,6,Diesel,12103
2025,6,BEV,11413
2025,6,Other,6444
2025,7,Petrol,75550
2025,7,Diesel,10587
2025,7,BEV,8936
2025,7,Other,4068
2025,8,Petrol,44589
2025,8,BEV,7179
2025,8,Diesel,6418
2025,8,Other,3344
2025,9,Petrol,61511
2025,9,BEV,10334
2025,9,Diesel,8582
2025,9,Other,4928
2025,10,Petrol,71440
2025,10,Diesel,10945
2025,10,BEV,9287
2025,10,Other,5655
2025,11,Petrol,68992
2025,11,Diesel,10118
2025,11,BEV,9523
2025,11,Other,5727
2025,12,Petrol,76616
2025,12,BEV,11370
2025,12,Diesel,10080
2025,12,Other,5183
2026,1,Petrol,56948
2026,1,Diesel,7250
2026,1,BEV,6645
2026,1,Other,2640
2026,2,Petrol,76618
2026,2,BEV,9096
2026,2,Diesel,9065
2026,2,Other,3225
2026,3,Petrol,103730
2026,3,BEV,12121
2026,3,Diesel,10347
2026,3,Other,4877
2026,4,Petrol,84190
2026,4,BEV,10050
2026,4,Diesel,8861
2026,4,Other,4583
2026,5,Petrol,86545
2026,5,BEV,12346
2026,5,Diesel,9350
2026,5,Other,4437
2026,6,Petrol,98717
2026,6,BEV,14566
2026,6,Diesel,10162
2026,6,Other,5786
2026,7,Petrol,79067
2026,7,BEV,11115
2026,7,Diesel,8068
2026,7,Other,4631
