year,month,total
2019,1,21117
2019,2,23789
2019,3,31079
2019,4,31451
2019,5,33250
2019,6,33119
2019,7,24951
2019,8,30493
2019,9,27728
2019,10,30493
2019,11,31126
2019,12,48365
2020,1,17790
2020,2,22489
2020,3,28535
2020,4,19831
2020,5,16899
2020,6,26058
2020,7,23804
2020,8,26545
2020,9,29791
2020,10,29037
2020,11,27443
2020,12,34974
2021,1,21476
2021,2,23586
2021,3,48723
2021,4,23133
2021,5,25713
2021,6,37638
2021,7,18110
2021,8,20925
2021,9,23745
2021,10,20916
2021,11,22093
2021,12,28255
2022,1,20527
2022,2,21917
2022,3,29893
2022,4,23050
2022,5,27736
2022,6,27374
2022,7,18789
2022,8,21493
2022,9,23047
2022,10,23220
2022,11,26295
2022,12,35879
2023,1,15282
2023,2,19040
2023,3,30960
2023,4,21413
2023,5,29384
2023,6,29132
2023,7,18073
2023,8,24578
2023,9,28893
2023,10,25730
2023,11,25928
2023,12,29694
2024,1,17809
2024,2,19250
2024,3,24481
2024,4,22726
2024,5,25947
2024,6,26096
2024,7,16956
2024,8,19711
2024,9,26418
2024,10,25682
2024,11,25443
2024,12,26819
2025,1,20308
2025,2,20209
2025,3,24959
2025,4,25232
2025,5,26607
2025,6,28637
2025,7,18617
2025,8,20814
2025,9,26163
2025,10,25194
2025,11,21915
2025,12,24621
2026,1,16667
2026,2,20005
2026,3,27579
2026,4,25169
2026,5,27007
2026,6,31083
2026,7,19687
2026,8,23402
