year,month,fuel,count
2019,1,BEV,1103
2019,1,Diesel,8113
2019,1,Hybrid,1374
2019,1,Other,122
2019,1,PHEV,1577
2019,1,Petrol,8828
2019,2,BEV,902
2019,2,Diesel,8827
2019,2,Hybrid,1238
2019,2,Other,104
2019,2,PHEV,1900
2019,2,Petrol,10818
2019,3,BEV,2107
2019,3,Diesel,10770
2019,3,Hybrid,1860
2019,3,Other,215
2019,3,PHEV,2292
2019,3,Petrol,13835
2019,4,BEV,1377
2019,4,Diesel,11981
2019,4,Hybrid,2195
2019,4,Other,292
2019,4,PHEV,1711
2019,4,Petrol,13895
2019,5,BEV,1255
2019,5,Diesel,11673
2019,5,Hybrid,2662
2019,5,Other,465
2019,5,PHEV,1655
2019,5,Petrol,15540
2019,6,BEV,1692
2019,6,Diesel,10708
2019,6,Hybrid,2634
2019,6,Other,621
2019,6,PHEV,1748
2019,6,Petrol,15716
2019,7,BEV,1083
2019,7,Diesel,7353
2019,7,Hybrid,2628
2019,7,Other,357
2019,7,PHEV,1307
2019,7,Petrol,12223
2019,8,BEV,971
2019,8,Diesel,8788
2019,8,Hybrid,3113
2019,8,Other,1162
2019,8,PHEV,1668
2019,8,Petrol,14791
2019,9,BEV,1764
2019,9,Diesel,7288
2019,9,Hybrid,2974
2019,9,Other,833
2019,9,PHEV,1874
2019,9,Petrol,12995
2019,10,BEV,848
2019,10,Diesel,9039
2019,10,Hybrid,3497
2019,10,Other,658
2019,10,PHEV,2696
2019,10,Petrol,13755
2019,11,BEV,1062
2019,11,Diesel,8969
2019,11,Hybrid,3618
2019,11,Other,548
2019,11,PHEV,3256
2019,11,Petrol,13673
2019,12,BEV,1631
2019,12,Diesel,14266
2019,12,Hybrid,5330
2019,12,Other,786
2019,12,PHEV,3223
2019,12,Petrol,23129
2020,1,BEV,1268
2020,1,Diesel,4088
2020,1,Hybrid,1140
2020,1,Other,449
2020,1,PHEV,4113
2020,1,Petrol,6732
2020,2,BEV,1430
2020,2,Diesel,6084
2020,2,Hybrid,1657
2020,2,Other,364
2020,2,PHEV,4027
2020,2,Petrol,8927
2020,3,BEV,3015
2020,3,Diesel,7284
2020,3,Hybrid,1710
2020,3,Other,342
2020,3,PHEV,4753
2020,3,Petrol,11431
2020,4,BEV,1049
2020,4,Diesel,5223
2020,4,Hybrid,1341
2020,4,Other,255
2020,4,PHEV,3233
2020,4,Petrol,8730
2020,5,BEV,841
2020,5,Diesel,4445
2020,5,Hybrid,1263
2020,5,Other,131
2020,5,PHEV,2591
2020,5,Petrol,7628
2020,6,BEV,1706
2020,6,Diesel,7082
2020,6,Hybrid,1152
2020,6,Other,167
2020,6,PHEV,4696
2020,6,Petrol,11255
2020,7,BEV,1307
2020,7,Diesel,5685
2020,7,Hybrid,1529
2020,7,Other,100
2020,7,PHEV,5414
2020,7,Petrol,9769
2020,8,BEV,2120
2020,8,Diesel,5558
2020,8,Hybrid,2624
2020,8,Other,526
2020,8,PHEV,5301
2020,8,Petrol,10416
2020,9,BEV,3678
2020,9,Diesel,5716
2020,9,Hybrid,2960
2020,9,Other,412
2020,9,PHEV,6233
2020,9,Petrol,10792
2020,10,BEV,2345
2020,10,Diesel,5356
2020,10,Hybrid,2623
2020,10,Other,397
2020,10,PHEV,7849
2020,10,Petrol,10467
2020,11,BEV,2729
2020,11,Diesel,4974
2020,11,Hybrid,2452
2020,11,Other,241
2020,11,PHEV,7590
2020,11,Petrol,9457
2020,12,BEV,6609
2020,12,Diesel,6578
2020,12,Hybrid,2180
2020,12,Other,237
2020,12,PHEV,10334
2020,12,Petrol,9036
2021,1,BEV,1161
2021,1,Diesel,4947
2021,1,Hybrid,1635
2021,1,Other,117
2021,1,PHEV,5898
2021,1,Petrol,7718
2021,2,BEV,1416
2021,2,Diesel,4961
2021,2,Hybrid,1643
2021,2,Other,169
2021,2,PHEV,6598
2021,2,Petrol,8799
2021,3,BEV,2625
2021,3,Diesel,10875
2021,3,Hybrid,3301
2021,3,Other,152
2021,3,PHEV,14963
2021,3,Petrol,16807
2021,4,BEV,4888
2021,4,Diesel,3729
2021,4,Hybrid,1992
2021,4,Other,188
2021,4,PHEV,4578
2021,4,Petrol,7758
2021,5,BEV,3972
2021,5,Diesel,4561
2021,5,Hybrid,2404
2021,5,Other,247
2021,5,PHEV,5558
2021,5,Petrol,8971
2021,6,BEV,8706
2021,6,Diesel,6173
2021,6,Hybrid,2922
2021,6,Other,348
2021,6,PHEV,9146
2021,6,Petrol,10343
2021,7,BEV,2556
2021,7,Diesel,3122
2021,7,Hybrid,1730
2021,7,Other,305
2021,7,PHEV,3808
2021,7,Petrol,6589
2021,8,BEV,4806
2021,8,Diesel,3059
2021,8,Hybrid,1865
2021,8,Other,294
2021,8,PHEV,4561
2021,8,Petrol,6340
2021,9,BEV,7486
2021,9,Diesel,3016
2021,9,Hybrid,1742
2021,9,Other,308
2021,9,PHEV,4778
2021,9,Petrol,6415
2021,10,BEV,4634
2021,10,Diesel,2790
2021,10,Hybrid,1491
2021,10,Other,290
2021,10,PHEV,5634
2021,10,Petrol,6077
2021,11,BEV,5549
2021,11,Diesel,3089
2021,11,Hybrid,1518
2021,11,Other,169
2021,11,PHEV,5979
2021,11,Petrol,5789
2021,12,BEV,10082
2021,12,Diesel,3412
2021,12,Hybrid,1894
2021,12,Other,303
2021,12,PHEV,6699
2021,12,Petrol,5865
2022,1,BEV,5221
2022,1,Diesel,2809
2022,1,Hybrid,1790
2022,1,Other,225
2022,1,PHEV,5378
2022,1,Petrol,5104
2022,2,BEV,5491
2022,2,Diesel,3135
2022,2,Hybrid,2045
2022,2,Other,369
2022,2,PHEV,5509
2022,2,Petrol,5368
2022,3,BEV,9254
2022,3,Diesel,3913
2022,3,Hybrid,2786
2022,3,Other,377
2022,3,PHEV,6826
2022,3,Petrol,6737
2022,4,BEV,5500
2022,4,Diesel,3492
2022,4,Hybrid,2735
2022,4,Other,201
2022,4,PHEV,5154
2022,4,Petrol,5968
2022,5,BEV,6529
2022,5,Diesel,4369
2022,5,Hybrid,2582
2022,5,Other,324
2022,5,PHEV,6146
2022,5,Petrol,7786
2022,6,BEV,8365
2022,6,Diesel,3998
2022,6,Hybrid,2024
2022,6,Other,338
2022,6,PHEV,6159
2022,6,Petrol,6490
2022,7,BEV,4792
2022,7,Diesel,2249
2022,7,Hybrid,1600
2022,7,Other,217
2022,7,PHEV,4259
2022,7,Petrol,5672
2022,8,BEV,5927
2022,8,Diesel,2578
2022,8,Hybrid,2707
2022,8,Other,638
2022,8,PHEV,3668
2022,8,Petrol,5975
2022,9,BEV,7871
2022,9,Diesel,2698
2022,9,Hybrid,2382
2022,9,Other,693
2022,9,PHEV,4387
