brand,model,total
FORD,FORD PUMA,160099
KIA,KIA SPORTAGE,138836
NISSAN,NISSAN QASHQAI,130022
TOYOTA,TOYOTA YARIS,119859
VOLKSWAGEN,VOLKSWAGEN GOLF,104748
VAUXHALL,VAUXHALL CORSA,101228
NISSAN,NISSAN JUKE,95466
VOLKSWAGEN,VOLKSWAGEN TIGUAN,94204
MG,MG HS,92983
VOLVO,VOLVO XC40,90703
VOLKSWAGEN,VOLKSWAGEN POLO,89040
TESLA,TESLA MODEL Y,88893
HYUNDAI,HYUNDAI TUCSON,88124
MINI,MINI COOPER,88038
FORD,FORD KUGA,79724
AUDI,AUDI A3,74465
MG,MG ZS,73738
VOLKSWAGEN,VOLKSWAGEN T-ROC,73273
BMW,BMW 1 SERIES,72060
PEUGEOT,PEUGEOT 2008,69235
VAUXHALL,VAUXHALL MOKKA,64543
HYUNDAI,HYUNDAI KONA,58350
TESLA,TESLA MODEL 3,58018
BYD,BYD SEAL,54147
PEUGEOT,PEUGEOT 208,52038
JAECOO,JAECOO 7,50075
PEUGEOT,PEUGEOT 3008,49096
AUDI,AUDI Q4,48600
MERCEDES,MERCEDES A CLASS,47306
TOYOTA,TOYOTA AYGO,47191
RENAULT,RENAULT CLIO,45827
KIA,KIA NIRO,45682
FORD,FORD FOCUS,45668
TOYOTA,TOYOTA C-HR,44519
TOYOTA,TOYOTA COROLLA,44148
AUDI,AUDI A1,43635
MINI,MINI COUNTRYMAN,43282
VAUXHALL,VAUXHALL GRANDLAND,40553
CITROEN,CITROEN C3,40356
CUPRA,CUPRA FORMENTOR,40108
BMW,BMW 3 SERIES,39986
LAND ROVER,LAND ROVER DEFENDER,39789
LAND ROVER,LAND ROVER RANGE ROVER EVOQUE,39736
RENAULT,RENAULT CAPTUR,39163
MG,MG 4,38807
VOLVO,VOLVO XC60,37869
LAND ROVER,LAND ROVER RANGE ROVER SPORT,37542
KIA,KIA PICANTO,37448
SKODA,SKODA KODIAQ,37289
