year,quarter,brand,model,count
2026,2,FORD,FORD PUMA,13437
2026,2,KIA,KIA SPORTAGE,11643
2026,2,NISSAN,NISSAN QASHQAI,10251
2026,2,CHERY,CHERY TIGGO,9907
2026,2,TESLA,TESLA MODEL Y,9141
2026,2,VOLKSWAGEN,VOLKSWAGEN GOLF,9085
2026,2,JAECOO,JAECOO 7,8246
2026,2,VAUXHALL,VAUXHALL CORSA,7925
2026,2,BYD,BYD SEAL,7828
2026,2,TOYOTA,TOYOTA YARIS,7776
2026,2,MINI,MINI COOPER,7666
2026,2,MG,MG HS,7575
2026,2,HYUNDAI,HYUNDAI TUCSON,7139
2026,2,VOLKSWAGEN,VOLKSWAGEN TIGUAN,6974
2026,2,VOLKSWAGEN,VOLKSWAGEN POLO,6948
2026,2,TESLA,TESLA MODEL 3,6834
2026,2,VOLVO,VOLVO XC40,6751
2026,2,VAUXHALL,VAUXHALL FRONTERA,6600
2026,2,JAECOO,JAECOO 5,6338
2026,2,MINI,MINI COUNTRYMAN,5991
2026,2,FORD,FORD KUGA,5619
2026,2,MG,MG ZS,5434
2026,2,BMW,BMW 1 SERIES,5244
2026,2,AUDI,AUDI A3,5093
2026,2,RENAULT,RENAULT 5,4642
2026,2,MERCEDES-BENZ,MERCEDES-BENZ CLA CLASS,4604
2026,2,BYD,BYD SEALION,4594
2026,2,VAUXHALL,VAUXHALL MOKKA,4329
2026,2,NISSAN,NISSAN JUKE,4321
2026,2,HYUNDAI,HYUNDAI KONA,4295
2026,2,PEUGEOT,PEUGEOT 2008,4186
2026,2,VOLKSWAGEN,VOLKSWAGEN T-ROC,4145
2026,2,SKODA,SKODA ENYAQ,4030
2026,2,AUDI,AUDI A1,3968
2026,2,PEUGEOT,PEUGEOT 5008,3958
2026,2,PEUGEOT,PEUGEOT 208,3912
2026,2,CUPRA,CUPRA FORMENTOR,3895
2026,2,AUDI,AUDI Q2,3888
2026,2,TOYOTA,TOYOTA AYGO,3848
2026,2,SKODA,SKODA KODIAQ,3777
2026,2,LAND ROVER,LAND ROVER DEFENDER,3621
2026,2,VOLKSWAGEN,VOLKSWAGEN ID3,3612
2026,2,TOYOTA,TOYOTA C-HR,3564
2026,2,SKODA,SKODA ELROQ,3550
2026,2,SHINERAY,SHINERAY STARRAY,3310
2026,2,AUDI,AUDI Q4,3286
2026,2,PEUGEOT,PEUGEOT 3008,3284
2026,2,MG,MG 3,3274
2026,2,TOYOTA,TOYOTA COROLLA,3265
2026,2,BMW,BMW X1,3118
2026,2,KIA,KIA PICANTO,3070
2026,2,RENAULT,RENAULT CAPTUR,3001
2026,2,LAND ROVER,LAND ROVER RANGE ROVER SPORT,2986
2026,2,VOLVO,VOLVO XC60,2919
2026,2,HYUNDAI,HYUNDAI I20,2912
2026,2,SKODA,SKODA KAMIQ,2876
2026,2,RENAULT,RENAULT SYMBIOZ,2859
2026,2,BMW,BMW 2 SERIES,2821
2026,2,MERCEDES,MERCEDES GLC CLASS,2770
2026,2,BMW,BMW 3 SERIES,2760
2026,2,AUDI,AUDI Q3,2709
2026,2,POLESTAR,POLESTAR 4,2692
2026,2,CITROEN,CITROEN C3,2686
2026,2,KIA,KIA EV5,2666
2026,2,FORD,FORD EXPLORER,2661
2026,2,MG,MG 4,2641
2026,2,SKODA,SKODA FABIA,2599
2026,2,SUZUKI,SUZUKI SWIFT,2584
2026,2,CUPRA,CUPRA TERRAMAR,2582
2026,2,VOLKSWAGEN,VOLKSWAGEN ID4,2557
2026,2,PORSCHE,PORSCHE MACAN,2536
2026,2,BMW,BMW X3,2532
2026,2,KIA,KIA EV3,2503
2026,2,MERCEDES,MERCEDES GLA CLASS,2496
2026,2,VOLVO,VOLVO XC90,2441
2026,2,SEAT,SEAT IBIZA,2420
2026,2,OMODA,OMODA 5 NOBLE AUTO,2400
2026,2,MERCEDES,MERCEDES A CLASS,2394
2026,2,VOLVO,VOLVO EX30,2313
2026,2,VOLKSWAGEN,VOLKSWAGEN TAYRON,2287
2026,2,LAND ROVER,LAND ROVER DISCOVERY,2271
2026,2,BYD,BYD DOLPHIN,2245
2026,2,VOLKSWAGEN,VOLKSWAGEN T-CROSS,2223
2026,2,SKODA,SKODA KAROQ,2195
