year,month,fuel,count
2020,1,Non-ZEV,148044
2020,1,ZEV,4105
2020,2,Non-ZEV,79611
2020,2,ZEV,2473
2020,3,Non-ZEV,245642
2020,3,ZEV,11724
2020,5,Non-ZEV,18180
2020,5,ZEV,2455
2020,6,Non-ZEV,137752
2020,6,ZEV,8922
2020,7,Non-ZEV,169088
2020,7,ZEV,8167
2020,8,Non-ZEV,84817
2020,8,ZEV,5514
2020,9,Non-ZEV,309816
2020,9,ZEV,21956
2020,10,Non-ZEV,133315
2020,10,ZEV,9280
2020,11,Non-ZEV,106334
2020,11,ZEV,10131
2020,12,Non-ZEV,112953
2020,12,ZEV,21884
2021,1,Non-ZEV,86211
2021,1,ZEV,6200
2021,2,Non-ZEV,50847
2021,2,ZEV,3513
2021,3,Non-ZEV,265065
2021,3,ZEV,22003
2021,4,Non-ZEV,134159
2021,4,ZEV,9173
2021,5,Non-ZEV,144747
2021,5,ZEV,13048
2021,6,Non-ZEV,168150
2021,6,ZEV,19844
2021,7,Non-ZEV,114509
2021,7,ZEV,11048
2021,8,Non-ZEV,62758
2021,8,ZEV,7358
2021,9,Non-ZEV,185572
2021,9,ZEV,32711
2021,10,Non-ZEV,93261
2021,10,ZEV,16123
2021,11,Non-ZEV,97806
2021,11,ZEV,21738
2021,12,Non-ZEV,83728
2021,12,ZEV,27673
2022,1,Non-ZEV,103757
2022,1,ZEV,14412
2022,2,Non-ZEV,51265
2022,2,ZEV,10423
2022,3,Non-ZEV,207893
2022,3,ZEV,39333
2022,4,Non-ZEV,108783
2022,4,ZEV,12876
2022,5,Non-ZEV,111614
2022,5,ZEV,15445
2022,6,Non-ZEV,121544
2022,6,ZEV,22625
2022,7,Non-ZEV,103284
2022,7,ZEV,12348
2022,8,Non-ZEV,62439
2022,8,ZEV,9881
2022,9,Non-ZEV,191371
2022,9,ZEV,38109
2022,10,Non-ZEV,117782
2022,10,ZEV,19804
2022,11,Non-ZEV,116999
2022,11,ZEV,29373
2022,12,Non-ZEV,88514
2022,12,ZEV,42254
2023,1,Non-ZEV,116881
2023,1,ZEV,17222
2023,2,Non-ZEV,64874
2023,2,ZEV,12307
2023,3,Non-ZEV,245107
2023,3,ZEV,46623
2023,4,Non-ZEV,114892
2023,4,ZEV,20472
2023,5,Non-ZEV,123676
2023,5,ZEV,24549
2023,6,Non-ZEV,149160
2023,6,ZEV,31670
2023,7,Non-ZEV,124721
2023,7,ZEV,23001
2023,8,Non-ZEV,72423
2023,8,ZEV,17248
2023,9,Non-ZEV,232156
2023,9,ZEV,45315
2023,10,Non-ZEV,133900
2023,10,ZEV,23963
2023,11,Non-ZEV,136980
2023,11,ZEV,24294
2023,12,Non-ZEV,116814
2023,12,ZEV,27584
2024,1,Non-ZEV,125952
2024,1,ZEV,20948
2024,2,Non-ZEV,74318
2024,2,ZEV,14971
2024,3,Non-ZEV,274184
2024,3,ZEV,48452
2024,4,Non-ZEV,114842
2024,4,ZEV,22738
2024,5,Non-ZEV,126084
2024,5,ZEV,26013
2024,6,Non-ZEV,148606
2024,6,ZEV,34094
2024,7,Non-ZEV,124369
2024,7,ZEV,27384
2024,8,Non-ZEV,69449
2024,8,ZEV,19144
2024,9,Non-ZEV,222733
2024,9,ZEV,56227
2024,10,Non-ZEV,118688
2024,10,ZEV,29811
2024,11,Non-ZEV,119158
2024,11,ZEV,38485
2024,12,Non-ZEV,99854
2024,12,ZEV,43602
2025,1,Non-ZEV,113099
2025,1,ZEV,29648
2025,2,Non-ZEV,66874
2025,2,ZEV,21279
2025,3,Non-ZEV,292617
2025,3,ZEV,69340
2025,4,Non-ZEV,98657
2025,4,ZEV,24589
2025,5,Non-ZEV,121055
2025,5,ZEV,32789
2025,6,Non-ZEV,148281
2025,6,ZEV,47392
2025,7,Non-ZEV,114406
2025,7,ZEV,29902
2025,8,Non-ZEV,64968
2025,8,ZEV,22040
2025,9,Non-ZEV,245018
2025,9,ZEV,72342
2025,10,Non-ZEV,113003
2025,10,ZEV,36953
2025,11,Non-ZEV,116764
2025,11,ZEV,39760
2025,12,Non-ZEV,103426
2025,12,ZEV,47192
2026,1,Non-ZEV,119154
2026,1,ZEV,29617
2026,2,Non-ZEV,73776
2026,2,ZEV,21861
2026,3,Non-ZEV,300772
2026,3,ZEV,86271
2026,4,Non-ZEV,112346
2026,4,ZEV,39121
2026,5,Non-ZEV,119042
2026,5,ZEV,43960
2026,6,Non-ZEV,152179
2026,6,ZEV,64014
2026,7,Non-ZEV,115484
2026,7,ZEV,43121
2026,8,Non-ZEV,67415
2026,8,ZEV,28072
