year,month,total
2020,1,152149
2020,2,82084
2020,3,257366
2020,5,20635
2020,6,146674
2020,7,177255
2020,8,90331
2020,9,331772
2020,10,142595
2020,11,116465
2020,12,134837
2021,1,92411
2021,2,54360
2021,3,287068
2021,4,143332
2021,5,157795
2021,6,187994
2021,7,125557
2021,8,70116
2021,9,218283
2021,10,109384
2021,11,119544
2021,12,111401
2022,1,118169
2022,2,61688
2022,3,247226
2022,4,121659
2022,5,127059
2022,6,144169
2022,7,115632
2022,8,72320
2022,9,229480
2022,10,137586
2022,11,146372
2022,12,130768
2023,1,134103
2023,2,77181
2023,3,291730
2023,4,135364
2023,5,148225
2023,6,180830
2023,7,147722
2023,8,89671
2023,9,277471
2023,10,157863
2023,11,161274
2023,12,144398
2024,1,146900
2024,2,89289
2024,3,322636
2024,4,137580
2024,5,152097
2024,6,182700
2024,7,151753
2024,8,88593
2024,9,278960
2024,10,148499
2024,11,157643
2024,12,143456
2025,1,142747
2025,2,88153
2025,3,361957
2025,4,123246
2025,5,153844
2025,6,195673
2025,7,144308
2025,8,87008
2025,9,317360
2025,10,149956
2025,11,156524
2025,12,150618
2026,1,148771
2026,2,95637
2026,3,387043
2026,4,151467
2026,5,163002
2026,6,216193
2026,7,158605
2026,8,95487
