year,quarter,fuel,count
2019,1,BEV,6056
2019,1,Diesel,194243
2019,1,Hybrid,28616
2019,1,Other,242
2019,1,PHEV,8443
2019,1,Petrol,473022
2019,2,BEV,6328
2019,2,Diesel,159321
2019,2,Hybrid,24791
2019,2,Other,35
2019,2,PHEV,6611
2019,2,Petrol,379061
2019,3,BEV,12859
2019,3,Diesel,152082
2019,3,Hybrid,31749
2019,3,Other,69
2019,3,PHEV,7931
2019,3,Petrol,396708
2019,4,BEV,12764
2019,4,Diesel,116443
2019,4,Hybrid,25806
2019,4,Other,24
2019,4,PHEV,12041
2019,4,Petrol,291331
2020,1,BEV,18291
2020,1,Diesel,106537
2020,1,Hybrid,38002
2020,1,Other,70
2020,1,PHEV,13747
2020,1,Petrol,314952
2020,2,BEV,12731
2020,2,Diesel,30854
2020,2,Hybrid,14513
2020,2,Other,90
2020,2,PHEV,5868
2020,2,Petrol,107493
2020,3,BEV,35630
2020,3,Diesel,105972
2020,3,Hybrid,67244
2020,3,Other,515
2020,3,PHEV,22932
2020,3,Petrol,367065
2020,4,BEV,41261
2020,4,Diesel,61080
2020,4,Hybrid,48441
2020,4,Other,250
2020,4,PHEV,24512
2020,4,Petrol,218353
2021,1,BEV,31715
2021,1,Diesel,69288
2021,1,Hybrid,61209
2021,1,Other,341
2021,1,PHEV,26366
2021,1,Petrol,244920
2021,2,BEV,42060
2021,2,Diesel,63467
2021,2,Hybrid,75628
2021,2,Other,668
2021,2,PHEV,31607
2021,2,Petrol,275691
2021,3,BEV,51116
2021,3,Diesel,36460
2021,3,Hybrid,78196
2021,3,Other,841
2021,3,PHEV,28780
2021,3,Petrol,218563
2021,4,BEV,65529
2021,4,Diesel,25477
2021,4,Hybrid,48771
2021,4,Other,593
2021,4,PHEV,27449
2021,4,Petrol,172510
2022,1,BEV,64164
2022,1,Diesel,33545
2022,1,Hybrid,81231
2022,1,Other,830
2022,1,PHEV,29727
2022,1,Petrol,217586
2022,2,BEV,50946
2022,2,Diesel,35072
2022,2,Hybrid,78174
2022,2,Other,954
2022,2,PHEV,21429
2022,2,Petrol,206312
2022,3,BEV,60335
2022,3,Diesel,32770
2022,3,Hybrid,91625
2022,3,Other,722
2022,3,PHEV,22573
2022,3,Petrol,209407
2022,4,BEV,91430
2022,4,Diesel,26515
2022,4,Hybrid,80409
2022,4,Other,1354
2022,4,PHEV,27065
2022,4,Petrol,187953
2023,1,BEV,76127
2023,1,Diesel,34961
2023,1,Hybrid,108854
2023,1,Other,763
2023,1,PHEV,31578
2023,1,Petrol,250731
2023,2,BEV,76690
2023,2,Diesel,31763
2023,2,Hybrid,102867
2023,2,Other,347
2023,2,PHEV,30370
2023,2,Petrol,222382
2023,3,BEV,85564
2023,3,Diesel,31530
2023,3,Hybrid,133747
2023,3,Other,738
2023,3,PHEV,36816
2023,3,Petrol,226469
2023,4,BEV,75841
2023,4,Diesel,27916
2023,4,Hybrid,117333
2023,4,Other,946
2023,4,PHEV,42273
2023,4,Petrol,199226
2024,1,BEV,84371
2024,1,Diesel,33646
2024,1,Hybrid,158331
2024,1,Other,910
2024,1,PHEV,42709
2024,1,Petrol,238858
2024,2,BEV,82845
2024,2,Diesel,24716
2024,2,Hybrid,137786
2024,2,Other,238
2024,2,PHEV,39116
2024,2,Petrol,187676
2024,3,BEV,102755
2024,3,Diesel,28461
2024,3,Hybrid,159741
2024,3,Other,69
2024,3,PHEV,44055
2024,3,Petrol,184225
2024,4,BEV,111898
2024,4,Diesel,23727
2024,4,Hybrid,133096
2024,4,Other,107
2024,4,PHEV,42321
2024,4,Petrol,138449
2025,1,BEV,120266
2025,1,Diesel,30948
2025,1,Hybrid,202476
2025,1,Other,316
2025,1,PHEV,54284
2025,1,Petrol,184567
2025,2,BEV,104770
2025,2,Diesel,22884
2025,2,Hybrid,148574
2025,2,Other,65
2025,2,PHEV,53515
2025,2,Petrol,142955
2025,3,BEV,124284
2025,3,Diesel,22615
2025,3,Hybrid,178400
2025,3,Other,980
2025,3,PHEV,66161
2025,3,Petrol,156236
2025,4,BEV,123905
2025,4,Diesel,19391
2025,4,Hybrid,134472
2025,4,Other,402
2025,4,PHEV,52633
2025,4,Petrol,126295
2026,1,BEV,137725
2026,1,Diesel,27803
2026,1,Hybrid,222362
2026,1,Other,31
2026,1,PHEV,74176
2026,1,Petrol,169354
