year,quarter,brand,count
2019,1,FORD,68668
2019,1,VOLKSWAGEN,60350
2019,1,VAUXHALL,55300
2019,1,MERCEDES,52108
2019,1,BMW,47240
2019,1,AUDI,41994
2019,1,TOYOTA,33809
2019,1,NISSAN,30009
2019,1,KIA,29985
2019,1,PEUGEOT,25289
2019,1,HYUNDAI,24787
2019,1,LAND ROVER,24113
2019,1,SKODA,22061
2019,1,SEAT,20680
2019,1,RENAULT,19164
2019,1,MINI,18194
2019,1,CITROEN,17857
2019,1,VOLVO,16349
2019,1,HONDA,15683
2019,1,MAZDA,13154
2019,1,SUZUKI,11974
2019,1,JAGUAR,11555
2019,1,FIAT,11041
2019,1,DACIA,10863
2019,1,MITSUBISHI,5786
2019,1,LEXUS,4412
2019,1,MG,3122
2019,1,PORSCHE,2549
2019,1,SMART,1710
2019,1,JEEP,1604
2019,1,ABARTH,1223
2019,1,SUBARU,1074
2019,1,ALFA ROMEO,1070
2019,1,DS,975
2019,1,SSANGYONG,730
2019,1,TESLA,646
2019,1,ASTON MARTIN,552
2019,1,BENTLEY,534
2019,1,FERRARI,334
2019,1,MASERATI,307
2019,1,MCLAREN,267
2019,1,LAMBORGHINI,205
2019,1,OTHER BRITISH,204
2019,1,ROLLS ROYCE,152
2019,1,INFINITI,95
2019,1,LOTUS,85
2019,1,CATERHAM,69
2019,1,CHEVROLET,67
2019,1,DODGE,63
2019,1,CHEVROLET GMC,53
2019,1,MORGAN,46
2019,1,ALPINE,44
2019,1,TRIUMPH,40
2019,1,COLEMAN MILNE,33
2019,1,AUSTIN HEALEY,30
2019,1,LANCIA,30
2019,1,OPEL,30
2019,1,CHRYSLER,26
2019,1,AUSTIN,25
2019,1,CADILLAC,17
2019,1,LINCOLN,16
2019,1,DATSUN,15
2019,1,ROVER,15
2019,1,PONTIAC,13
2019,1,BUICK,12
2019,1,SAAB,10
2019,1,MORRIS,8
2019,1,MERCURY,7
2019,1,PLYMOUTH,7
2019,1,OLDSMOBILE,6
2019,1,DAIMLER,5
2019,1,SUNBEAM,5
2019,1,WESTFIELD,5
2019,1,ACURA,4
2019,1,CORVETTE,4
2019,1,DAIHATSU,4
2019,1,HUMMER,4
2019,1,DE TOMASO,3
2019,1,FSO CARS,3
2019,1,HOLDEN,3
2019,1,LADA,3
2019,1,TVR,3
2019,1,AIXAM,2
2019,1,ARIEL,2
2019,1,GINETTA,2
2019,1,HARLEY-DAVIDSON,2
2019,1,MAYBACH,2
2019,1,RILEY,2
2019,1,SINGER,2
2019,1,AC,1
2019,1,AM GENERAL,1
2019,1,BOND,1
2019,1,BRISTOL,1
2019,1,CAPRI,1
2019,1,DAVID BROWN,1
2019,1,HILLMAN,1
2019,1,HUMBER,1
2019,1,ISUZU,1
2019,1,IVECO,1
2019,1,JENSEN,1
2019,1,MARCOS,1
2019,1,MAXUS,1
2019,1,RALEIGH,1
2019,1,RELIANT,1
2019,1,TALBOT,1
2019,1,WARTBURG,1
2019,2,FORD,60619
2019,2,VOLKSWAGEN,52274
2019,2,BMW,43617
2019,2,MERCEDES,41435
2019,2,VAUXHALL,39625
2019,2,AUDI,39399
2019,2,TOYOTA,26553
2019,2,NISSAN,23951
2019,2,KIA,23291
2019,2,HYUNDAI,21188
2019,2,PEUGEOT,19444
2019,2,SKODA,19385
2019,2,LAND ROVER,18592
2019,2,SEAT,17207
2019,2,MINI,15156
2019,2,VOLVO,13890
2019,2,RENAULT,12896
2019,2,CITROEN,11839
2019,2,HONDA,9811
2019,2,JAGUAR,8735
2019,2,MAZDA,8494
2019,2,SUZUKI,8334
2019,2,DACIA,7649
2019,2,FIAT,6901
2019,2,PORSCHE,4514
2019,2,MITSUBISHI,4304
2019,2,MG,3294
2019,2,LEXUS,3020
2019,2,JEEP,1741
2019,2,SMART,1443
2019,2,TESLA,976
2019,2,ALFA ROMEO,886
2019,2,DS,757
2019,2,SUBARU,664
2019,2,ABARTH,639
2019,2,BENTLEY,495
2019,2,FERRARI,382
2019,2,ASTON MARTIN,380
2019,2,SSANGYONG,380
2019,2,MASERATI,262
2019,2,MCLAREN,224
2019,2,LAMBORGHINI,183
2019,2,OTHER BRITISH,164
2019,2,LOTUS,134
2019,2,ROLLS ROYCE,118
2019,2,INFINITI,105
2019,2,CHEVROLET,85
2019,2,CHEVROLET GMC,64
2019,2,MORGAN,63
2019,2,DODGE,61
2019,2,CATERHAM,60
2019,2,TRIUMPH,49
2019,2,ALPINE,44
2019,2,OPEL,38
2019,2,LINCOLN,28
2019,2,CADILLAC,23
2019,2,CHRYSLER,22
2019,2,DATSUN,22
2019,2,LANCIA,19
2019,2,ROVER,19
2019,2,AUSTIN HEALEY,18
2019,2,AUSTIN,14
2019,2,BUICK,14
2019,2,PONTIAC,14
2019,2,MERCURY,9
2019,2,WESTFIELD,9
2019,2,PLYMOUTH,8
2019,2,ARIEL,7
2019,2,COLEMAN MILNE,6
2019,2,DAIHATSU,6
2019,2,HUMMER,6
2019,2,SAAB,6
